	Category	Topic	Subtopic 	nil	Image Caption	Header 1	Info1	Header2	Info2	Header3	Info3	Header4	Info4	Header5	Info5	Header6	Info6	Header7	Info7	Header8	Info8	Header9	Info9	Header10	Info10	Header11	Info11	Header12	Info12	Header13	Info13	Header14	Info14	Header15	Info15				
209	Retina	Vascular Diseases	Diabetic Macular Edema	"209_DiabeticMacularEdema_1.jpg, 209_DiabeticMacularEdema_2.jpg, 209_DiabeticMacularEdema_3.jpg"	nil	# Therapeutic effect of Posterior Subtenon Triamcinolone?	‘- Improves VA up to 1 year	# Therapeutic effect of intravitreal steroids?	"‘- Improves VA/CSME up to 2 yrs
- Not as effective as focal per DRCR.net
- Pseudophakic: triamcinolone+laser = Lucentis+laser, but more glaucoma
- Vision gain not dependent on amt of initial edema
- Increased risk of glaucoma/cataract"	# Therapeutic effect of Focal Lasers?	‘- Improves CSME long term	# Results from the Ranibizumab for Edema of the mAcula in Diabetes-2 (READ-2) Study?	"‘- Lucentis vs focal/grid vs both
- At 6mo: Lucentis = both > focal/grid
- At 24mo, all had Lucentis PRN; all improved"	# Results from the two Phase III Trials: RISE and RIDE?	"‘- Lucentis 0.3 vs 0.5 vs sham, qmonth
- At 24mo: Lucentis 0.3 = 0.5 > sham
- At 36mo: Lucentis 0.3 = 0.5 > sham
- Slightly greater thromboembolic events with 0.5mg dosing"																								
211	Retina	Vascular Diseases	DR Management	211_Table.png	Diabetic Retinopathy Clinical Research (DRCR) Network	# Results from The Diabetes Control and Complications Trial (DCCT)?	"‘- Intensive > conventional glycemic control in DM1 pts, reduces onset and progression of DR and macular edema"	# Results from the United Kingdom Prospective Diabetes Study (UKPDS)?	"‘- Intensive > conventional glycemic control in DM2 pts, reduces onset and progression of DR
- Intensive BP control slowed progression of DR 
- No difference between ACEi and BB"	# Results from the Diabetic Retinopathy Vitrectomy Study (DRVS)?	"‘- Early (<6 mo) vs. late (>1 yr) PPV for non-clearing VH 
- Early PPV improved VA outcome in DM1, not DM2 patients
- Indications for PPV
## Dense non-clearing VH
## TRD threatening macula
## Combined TRD/RRD
## Diffuse DME with traction
## Recurrent VH despite max PRP"																												
212	Retina	Vascular Diseases	DR Screening and Monitoring	nil	nil	"# For a woman who is pregnant, when should screening be?"	"‘- Before conception or in 1st trimester, q3mo"	"# For a patient with disease onset of < 30 years old, when should screening be?"	"‘- Within 5 yrs, then yearly"	"# For a patient with disease onset of >31 years old, when should screening be?"	"‘- At diagnosis, then yearly"	"# For a patient with mild NPDR, how often is screening?"	‘- Every 9 months	"# For a patient with moderate NPDR, how often is screening?"	‘- Every 6 months	"# For a patient with severe NPDR, how often is screening?"	‘- Every 4 months	"# For a patient with severe NPDR and CSME, how often is screening?"	‘- Every 2-4 months	"# For a patient with PDR, how often is screening?"	‘- Every 2-3 months																		
212	Retina	Vascular Diseases	DR Epidemiology and Risk Factors	nil	nil	"# According to the Wisconsin Epidemiologic Study of Diabetic Retinopathy (WESDR), what is the prevalence of diabetic retinopathy (DR) after 20 years in DM1 and DM2?"	"‘- DM1 – 99% with DR
- DM2 – 60% with DR
(Wisconsin white population)"	# Other risk factors:	"‘- In patients with HTN, intensive BP control may worsen retinal perfusion
- In patients with carotid dx, mild-mod carotid dx may worsen ischemia"	# Other ocular associations with diabetes:	"‘- Type II juxtafoveal telengiectasis
## Acquired; bilateral
## Abnormal GTT test
- PSC cataracts
- Lacy vacuolization of the iris
- Thickened basement membranes"																												
213	Retina	Vascular Diseases	Radiation Retinopathy	"213_RadiationRetinopathy_1.jpg, 213_RadiationRetinopathy_2.jpg"	nil	# How does Radiation Retinopathy arise?	- May result from external beam radiation or plaque brachytherapy	# Usual onset?	"‘- ~18mo s/p external XRT
- Earlier for brachytherapy"	# Usual amount of radiation?	‘- 30-35Gy (min 15Gy)	# Clinical appearance is similar to what disease?	‘- Diabetic retinopathy	# Treatment?	"‘- Similar to diabetic retinopathy
- Consider Avastin q3month for prophylaxis"																								
214	Retina	Vascular Diseases	Sickle Cell Retinopathy	214_SickleCellRetinopathy_1.jpg	nil	# Hemoglobinopathy?	"‘- SC disease: worst ocular sx (SC > Sthal > SS > SA)
- SS disease: worst systemic sx"	# Gene defect?	‘- Val sub for glu acid at 6th position on B-polypeptide chain	# What type of medication should patients avoid?	‘- Carbonic anhydrase inhibitors	# Clinical findings?	"‘- Angioid streaks
- Comma sign (segmented conj vessels)"	# Clinical findings resulting from hemorrhage in Nonproliferative Sickle Cell Retinopathy?	"‘- Salmon patch
## Intraretinal hemorrhage after arteriolar occlusion
- Iridescent spots
## Old resorbed heme
- Black sunburst
## RPE hypertrophy, hyperplasia"	# What are the stages of Proliferative Sickle Cell Retinopathy? (5)	"‘- Stage 1: peripheral arteriolar occlusion
- Stage 2: peripheral AV anastomoses
- Stage 3: preretinal sea fan NV (posterior border of nonperfusion; may autoinfarct and turn white)
- Stage 4: Vitreous hemorrhage
- Stage 5: Tractional RD"	# Treatment?	"‘- Scatter laser to ischemic retina
- PPV precautions (avoid encircling SB or taking down EOMs, avoid epi in local anesthetic, ensure O2 & hydration)"																				
215	Retina	Vascular Diseases	Eales disease	"215_EalesDisease_1.jpg, 215_EalesDisease_2.jpg"	nil	# Definition of Eales Disease?	"‘- Idiopathic obliterative perivasculitis of peripheral retina
- Bilateral peripheral NV + VH"	# Most prevalent in which age group?	‘- Young males	# Associated with what risk factor?	‘- TB hypersensitivity	# Endemic in which country?	‘- India																										
225	Retina	Vascular Diseases	Coat's Disease	"225_CoatsDisease_1.jpg, 225_CoatsDisease_2.jpg, 225_CoatsDisease_3.jpg, 225_CoatsDisease_4.jpg, 225_CoatsDisease_5.jpg"	nil	# Clinical findings:	"‘- Exudates and “light bulb” retinal aneurysms
- NV rare"	# Most common presentation?	"‘- Young males (1st decade) with leukocoria from exudative RD
- Congenital, non-hereditary 
- 90% unilateral; 50% progressive
- 10:1 male:female"	# What are the stages of Coat's Disease? (Stages 1 - 5)	"‘- Stage 1: retinal telangiectasia only 
- Stage 2: telangiectasia & exudation
- Stage 3: exudative RD (a: subtotal, b: total)
- Stage 4: total RD + glaucoma
- Stage 5: advanced end-stage dx"	# Treatment?	"‘- Laser (stage 1); Cryo (stages 2 & 3)
- 3 mo to retreat (exudates resolve slowly)"	# DDx of submacular fibrosis in a child?	"‘- Coat’s disease
- ROP
- FEVR
- Fascioscapulohumeral muscular dys.
- VHL"																								
229	Retina	Vascular Diseases	Irvine-Gass Syndrome/CME	"229_MacularEdema_IrvineGassSyndrome_1.png, 229_MacularEdema_IrvineGassSyndrome_2.png"	Chronic Pseudophakic Cystoid Macular Edema in a Patient with Diabetes*FA of CME	# Irvine-Gass Syndrome: Features?	"‘- CME after cataract surgery
- ~6-10wks post-op; <6mo duration
- ~95% spontaneously resolve
- Classic Presentation: Hyperopic shift after cataract surgery"	# Irvine-Gass Syndrome: Treatment?	"- NSAIDs (gtt)
- Steroid (gtt or PSTK)
- CAIs (gtt or PO)"	# DDx of CME?	"‘- Diabetes
- Epinephrine
- Pars planitis
- RP
- Irvine-Gass
- Vein occlusion
- E2 analogues (prostaglandins)
- Nicotinic acid (Niacin)
DEPRIVEN"	# DDx of CME w/o leakage?	"‘- Goldman-Favre (enhanced S-cone)
 - Juvenile X-linked retinoschisis
 - RP
 - Nicotinic acid
 Good Young Retinas Never Leak"																										
204	Retina	Vascular Diseases	Purtscher's Retinopathy	"204_Heme_PurtschersRetinopathy_1.jpg, 204_Heme_PurtschersRetinopathy_2.jpg"	nil	# Features of Purtscher Retinopathy:	"‘- Usually peripapillary hemorrhages, cotton-wool spots, & edema after acute compression injuries to head or thorax"	# What do you see on FA?	- Arteriolar leakage	# What is the etiology of Purtscher's Retinopathy?	- Injury-induced complement activation and granulocyte aggregation	# What are causes of Purtscher-like Retinopathy?	"‘- Acute pancreatitis
- SLE (Lupus)
- Amniotic fluid embolism
- Fat embolism
- Renal failure
- Retrobulbar anesthesia"																										
227	Retina	Vascular Diseases	Venous Occlusions	"227_VenousOcclusions_BRVO.jpg, 227_VenousOcclusions_CRVO_1.jpg, 227_VenousOcclusions_CRVO_2.jpg"	BRVO*Non-Ischemic CRVO*CRVO	# BRVO: Features?	"‘- Usually superotemporal at AV crossings
- Prognosis is variable"	# BRVO: Risks factors?	"‘- HTN, cardiac dx, high BMI, h/o glaucoma
- NOT diabetes"	# CRVO: Features?	"‘- Non-ischemic vs Ischemic 
## Ischemic = >10DD nonperfusion
## 34% non-ischem b/c ischem s/p 36mo
## >60% ischemic develop NV
- Prognosis good if VA<20/40 (CVOS)"	# CRVO: Risks factors?	"‘- HTN, DM, cardiac dx, vasculitis, clotting dx, meds (diuretics, OCP)"	# DDx of optociliary shunt vessels?	"‘- RVO, ON meningioma, low-grade ON glioma, chronic papilledema, chronic glaucoma"	# Treatments?	"- BVOS
## Grid laser improves VA if VA<20/40 + CME>3mo
## PRP reduced risk of NV + VH, but PRP only if NV
- CVOS
## Grid laser reduced CME but not VA
## PRP not reduced risk of NV, PRP only if NV (>2 clock hrs NVI or any NVA)
- SCORE
## BRVO: grid > IVt triamcinolone x2 (36mo)
## CRVO: IVt triamcinolone x2 > sham (24mo)
## 1mg = 4mg in efficacy, but 1mg safer
- GENEVA
## BRVO/CRVO: Ozurdex > sham (2mo) 
## 0.35mg = 0.7mg, high IOP with dexamethasone
- BRAVO/CRUISE
## BRVO/CRVO: Lucentis x 6mo then PRN > sham  x 6mo then PRN (6 mo)
- COPERNICUS
## CRVO: IVt Eylea 2mg qmo > sham (6 mo)"																						
228	Retina	Vascular Diseases	Arterial Occlusions: BRAO and CRAO	"228_ArterialOcclusions_BRAO_1.jpg, 228_ArterialOcclusions_CRAO_1.jpg, 228_ArterialOcclusions_CRAO_2.png"	BRAO*CRAO*CRAO	# Types of plaques?	"‘- Hollenhorst (cholesterol)
- fibrin/platelets (large vessels)
- calcific (cardiac, valvular)
- talc (IVDA)
- septic (endocarditis)"	# Etiology?	"‘- GCA (1-2% of CRAO)
- Sickle cell dx
- Infectious/inflammatory
-  Coagulopathy
-  OCP use; pregnancy"	# Risk of NVI in CRAO?	‘- 16% (c/w 60% in iCRVO)	# Treatment?	‘- PRP for NV																										
228	Retina	Vascular Diseases	Arterial Occlusions: Ocular Ischmemic Syndrome	228_OcularIschemicSyndrome.jpg	nil	# Which blood vessel is usually used to make the diagnosis?	‘- Usually carotid artery dx (>90% stenosis)	# Clinical Features?	"‘- AC inflammation (1/3 cases)
- NVI (2/3 cases)
- IOP low or normal (50%), high (50%)
- Early stage = venous stasis retinopathy (resembles CRVO)"	# Distinguish from CRVO?	‘- Dilated but NOT tortuous veins	# What measurements are used to make the diagnosis?	"‘- FA: delayed arterial filling (95%) or delayed choroidal filling (60%)
- Ophthalmodynamometry (measures retinal artery  ocular perfusion pressure)"	# Treatments?	"‘- PRP for NV
- Carotid endarterectomy (can increase IOP by restoring ciliary body function)"																								
248	Retina	Vascular Diseases	Ddx: Cherry-Red Spot	248_DDx_CherryRedSpot.jpg	nil	# Gangliosidoses (3)	"‘- Tay-Sachs
- Sandhoff
- Niemann-Pick"	# CRAO	nil	# Trauma																													
216	Retina	Pediatric Disorders	DDx Pediatric Leukocoria 	216_PediatricLeukocoria_Retinoblastoma_2.png	nil	"# Retinoblastoma
# PFV
# ROP
# Cataract
# Coloboma of choroid or optic disc
# Uveitis
# Toxocariasis
# Congenital retinal folds
# Coats disease
# Organized vitreous hemorrhage
# FEVR
# Norrie disease
# Retinal detachment
# Myelinated nerve fibers"																																	
217	Retina	Pediatric Disorders	Retinoblastoma	"217_Retinoblastoma_1.jpg, 217_Retinoblastoma_2.jpg, 217_Retinoblastoma_3.gif, 218_Table.png"	 *Rosette*Histopathology*International Classification of Intraocular Retinoblastoma	# Why is it important to diagnose Retinoblastoma in children?	- Because retinoblastoma is the most common primary intraocular malignancy in children	# Rb Inheritance?	- Autosomal dominant	# How often does retinoblastoma occur bilaterally verus unilaterally?	"‘- 1/3 bilateral, 2/3 unilateral"	# How often does retinoblastoma occur hereditarily versus sporadically?	"‘- 1/3 hereditary, 2/3 sporadic"	# Signs?	"‘- Leukocoria or strabismus usu. before age 3
- Early tumor in macula, later in periphery
- LDH aqueous:plasma ratio >1.0
- Calcium on U/S or CT"	# Path?	"‘- Tumor grows around blood vessels
- Flexner-Wintersteiner rosette (RB specific)
- Homer Wright (also other neuroblastomas)
- Fleurette (Photoreceptor differentiation)"	# Prognosis:	"‘- Good with early tx; spontaneous regression rare
- Enucleation, radiation, chemo, cryo, laser"	# Reese-Ellsworth classification:	"- Predicts visual prognosis, NOT survival"	# Trilateral retinoblastoma?	‘- Bilateral tumor plus pineal gland	# Common secondary malignancies?	"‘- Osteosarcoma, malignant melanoma"														
219	Retina	Pediatric Disorders	Retinocytoma	"219_Retinoblastoma_Retinocytoma.png, 219_Table.png"	nil	# Retinocytoma	"‘- Also arises from Rb mutation, but benign
- Occurs in siblings with retinoblastoma
- May undergo malignant transformation (rare)"																																
220	Retina	Pediatric Disorders	Persistent Fetal Vasculature (PFV or PHPV)	"220_PFV_1.png, 220_PFV_2.jpg"	nil	# Definition of PFV?	‘- Failure of hyaloid vasculature to regress	# Inheritance?	‘- Non-hereditary	# Signs?	"‘- Unilateral
- Microphthalmos (disorganized)
- Fibrovascular sheath behind lens contracts to elongate ciliary processes
- Fibrovascular stalk from disc to posterior lens capsule
- Cataract
- Glaucoma (shallow AC + angle closure)
- RD and intraocular hemorrhage
- Retina may extend to pars plicata
- No systemic defects"	# Prognosis?	‘- Depends on degree of retinal involvement	# Location of Mittendorf dot?	- Inferonasal																								
221	Retina	Pediatric Disorders	Norrie Disease	nil	nil	# Definition of Norrie Disease?	"‘- Bilateral congenital blindness
- Classic presentation: Newborn baby boy with bilateral retinal detachments"	# Inheritance?	"‘- XR, males"	# Eye findings?	"‘- Bilateral retinal detachment within first few weeks of life
- Phthisis by age 10"	# Associated findings?	"‘- Hearing impairment
- Mental retardation"																										
222	Retina	Pediatric Disorders	Retinopathy of Prematurity (ROP)	222_ROP.jpg	ROP Graphic	# Who to screen?	"‘- Gestation <30 weeks
- Birth weight <1500g
- 1500-2000g or >30wks if high risk or unstable clinical course"	# What are the risk factors?	‘- High oxygen and poor weight gain (WINROP)	# When to start screening?	"‘- At 4-6 wks of age or 31-33 wks post-conception (whichever later) 
- Needs >2 BIO exams
- Screen weekly until zone II vascularized or ROP regressing"	# When do normal vessels complete vascularization?	"‘- 36-40 weeks (nasal at 36wks, temporal at 40wks)"	# When is ROP likely to progress?	‘- 36-40 weeks	# Stages & Zones?	"‘- Stage 1: demarcation line
- Stage 2: elevated ridge
- Stage 3: extraretinal fibrovascular tissue
- Stage 4: subtotal RD
- Stage 5: total RD"	# Threshold ROP?	"‘- Stage 3 in zone 1 or 2 in 5 contiguous or 8 non-contiguous clock hours with plus disease
- Defined by CRYO-ROP"																				
223	Retina	Pediatric Disorders	ROP Treatment	223_Table.png	nil	# STOP-ROP	"‘-  Supplemental O2 at O2Sat 96-99% did not cause progression of prethreshold ROP, or reduce surgery"	# LIGHT-ROP	‘-  Exposure to ambient light does not affect incidence/severity of ROP	# CRYO-ROP	‘- Cryotherapy for threshold disease reduces vision loss	# ET-ROP	"‘- Early > conventional therapy of pre-threshold disease in reducing VA loss
- Treat type 1 ROP early (<48 hrs):
## Zone I, any stage, plus disease
## Zone I, stage 3, no plus disease
## Zone II, stage 2-3, plus disease
- Watch type 2 ROP:
## Zone I, stage 1 or 2, no plus disease
## Zone II, stage 3, no plus disease"	# ICROP	"‘- Defined preplus (int vascular chg)
- Aggressive Posterior ROP (Rush dx)
## Dilation + tortuosity in 4 quads out of proportion to periphery
## Direct AV shunting 
## Not follow Stage 1-3 progression
## NV may be flat, featureless 
## More urgent laser required "	# BEAT-ROP	"‘- Avastin vs. laser
- Treat with Avastin for stage 3 ROP only for zone I but not zone II
- Development of peripheral vessels continue after Avastin but not laser"																						
224	Retina	Pediatric Disorders	Familial Exudative Vitreoretinopathy (FEVR)	"224_FEVR_1.jpg, 224_FEVR_2.jpg"	nil	# Definition of Familial Exudative Vitreoretinopathy?	‘- Failure of temporal retina to vascularize (like ROP in full-term infant)	# Characteristics?	"‘- Bilateral
- Retinal exudates
- Tractional RD
- Retinal folds
- Temporal dragging of fovea
- Exotropia"	# Inheritance?	‘- AD usually (FEVR1; Ch 11)(also XR)	# Stages?	"‘- Stage 1: avascular peripheral retina
- Stage 2: NV, exudates
- Stage 3: subtotal extramacular RD
- Stage 4: subtotal macular RD
- Stage 5: total RD"																										
232	Retina	Retinal Degenerations	Stationary Rod Disorders: Congenital Stationary Night Blindness (CSNB)	"232_StationaryRodDisorders_FundusAlbipunctatus.png, 232_StationaryRodDisroders_OguchisDisease.jpg"	Fundus Albipunctatus*Normal	# Features:	"‘- Prolonged recovery of rhodopsin after light exposure
- Nyctalopia; delayed dark adaptation
- Normal fundus"	# What is the Flynn phenomenon?	‘- Paradoxical pupil constriction in dark	# The Flynn phenomenon is also seen in which eye diseases?	- LCA & achromatopsia	# ERG?	‘- Rod ERG decreased but normalizes after dark adaption	# Types?	"‘- Nougaret (AD) no rods; Riggs (AR) some rods
- Schubert-Bornschein (XR;AR) myopia, some to no rods
## Negative ERG"	# Variants?	"‘- Fundus albipunctatus (AR): ERG/EOG abnormal
 - Oguchi’s disease (AR): ERG abnormal; EOG normal
 - Kandora flecked retina (AR)
"	# What is the Mizuo-Nakamura phenomenon?	‘- Yellow sheen appears normal after dark adaptation	# The Mizuo-Nakamura phenomenon is also seen in which eye diseases? 	‘- Cone dystrophy & X-linked schisis																		
233	Retina	Retinal Degenerations	Stationary Rod Disorders: Achromatopsia	"233_Achromatopsia_1.jpg, 233_Achromatopsia_2.jpg, 233_Achromatopsia_3.jpg"	nil	# Features:	"‘- Poor central VA, nystagmus, photphobia
- Normal-appearing fundus
- Paradoxical pupil constriction in dark"	# Rod monochromatism	"‘- AR (CNGA3, CNGB3, GNAT2)
- No cone function at all; rods normal
- Sees gray
- Loss of photopic response on ERG"	# Blue cone monochromatism	"‘- XR (OPN1W, OPN1MW)
- Only blue cones functional
- Slightly better VA than rod monochromatism"	# Other color disorders	"‘- Protanopia / deuteranopia – XR 
- Tritanopia – AD"	# Color vision	"‘- Ishihara:
 ## Only for protanopia/deuteranopia
- Hardy-Rand-Ritter:
## Like Ishihara, but detects all 3 color deficits
- Anomaloscope: 
## Luminosity matching
 ## Good for protanopia/deuteranopia
- Farnsworth-15: 
## Good for acquired vs. inherited ddx"																								
234	Retina	Retinal Degenerations	Leber Congenital Amaurosis (LCA)	"234_LCA_1.jpg, 234_LCA_2.jpg"	nil	# What is the classic presentation of LCA?	"‘- 6 m/o with nystagmus, flat ERG, poor visual response, hyperopia"	# Which photoreceptors affected?	‘- Both rods and cones	# Ocular Sx?	"‘- Poor vision
- Nystagmus
- Sluggish pupils
- Paradoxic pupils (constrict in dark)
- Oculodigital reflex
- Keratoconus
- Hyperopia"	# ERG?	‘- Flat ERG is diagnostic	# Fundus appearance?	"‘- Variable – normal (usually at birth), bone spicules, salt & pepper, white dots"	# What is the inheritance pattern of LCA?	‘- Autosomal recessive	# Treatments?	‘- None																				
235	Retina	Retinal Degenerations	Progressive Rod Disorders	235_ProgressiveRodDisorders_RP_2.jpg	Mid-stage RP	# 2 types?	‘- Type 1 rod-cone; Type 2 cone-rod	# Clinical Findings?	"‘- Bone spicules
- Waxy optic disc pallor 
- Attenuated vessels
- Pigmented vitreous cell
- Macular edema w/o leakage on FA
- PSC
- Progressive loss of night vision
- Tritan color deficiency (blue)
- HVF: mid-peripheral scotomas, eventually becomes ring scotoma"	# ERG?	"‘- Decreased amplitude (A & B waves)
- Increased implicit time
- ERG decreases 50% every 7yrs (w/o treatment)"	# What type of vision impairment is RP associated with?	‘- Myopia (unlike LCA associated with hyperopia)	# Inheritance?	"‘- Sporadic / AR (most common)
- AD (least severe; rhodopsin – Ch3, most common mutation P23H; RDS/peripherin)
- XR (least common, earliest onset, fastest progression, worse prognosis)"	# Treatment?	"‘- Vitamin A, NOT vitamin E, lutein, DHA, oily fish"	# What is Sector RP?	‘- RP in part of retina (usu. Inferotemporal)	# What is Inverse RP?	‘- RP in macula	# What is Retinitis punctata albescens?	‘- RP + white spots	# What is RP sine pigmento?	‘- RP without RPE changes														
235	Retina	Retinal Degenerations	RP Variants: Bassen Kornzweig	"235_ProgressiveRodDisorders_RP_2.jpg, 236_RPvariants_Acanthocytes.jpg"	RP*Acanthocytes	# Features:	"‘- RP + hereditary abetalipoproteinemia
- Poor vitamin A absorption & steatorrhea
- Also: ataxia, acanthocytosis"	# What is the inheritance pattern of Bassen Kornzweig?	- Autosomal recessive 	# Treatment?	"‘- Low fat diet, vitamin A + E"																												
236	Retina	Retinal Degenerations	RP Variants: Refsum Disease	"236_RPvariants_RefsumDisease_1.jpg, 236_RPvariants_RefsumDisease_2.jpg"	nil	# Features:	"‘- RP + phytanic acid oxidase deficiency
- High phytanic acid, copper & ceruloplasmin
- No bone spicules; enlarged K nerves
- Also: Ataxia, deafness, anosmia, ichthyosis, cardiomyopathy, symmetric short 4th toes"	# What is the inheritance pattern of Refsum Disease?	- Autosomal recessive (7q21-22; PEX1)	# Treatment?	"‘- Low phytanic acid diet (avoid fats, milk)"																												
235	Retina	Retinal Degenerations	RP Variants: Spielmeyer-Vogt-Batten-Mayou	235_ProgressiveRodDisorders_RP_2.jpg	RP 	# Features:	"‘- RP + neuronal ceroid lipofuscinosis
- Lipofuscin accumulates in lysosomes
- Also: seizure, dementia, ataxia, vacuolization of peripheral lymphocytes"	# What is the inheritance pattern of Spielmeyer-Vogt-Batten-Mayou?	"‘- Autosomal recessive, usually Jewish girls"																														
235	Retina	Retinal Degenerations	RP Variants: Bardet-Biedl-Laurence-Moon	"235_ProgressiveRodDisorders_RP_2.jpg, 237_RPvariants_BardetBiedl.jpg"	RP*Polydactyly	# Features:	"‘- RP + polydactyly + obesity (Bardet-Biedl)
- RP + spastic paresis (Laurence-Moon)
- Both: short stature, hypogonadism, mental retardation, urethral reflux / pyelonephritis"	# What is the inheritance pattern of Bardet-Biedl-Laurence-Moon?	"‘- Autosomal recessive, likely multigenic"																														
235	Retina	Retinal Degenerations	RP Variants: Usher Syndrome	235_ProgressiveRodDisorders_RP_2.jpg	RP 	# Features:	"‘- RP + deafness
- Cilia defect (photoreceptors & hair cells)
- Also: ataxia, MR, low phosphate (rickets)"	# What is the inheritance pattern of Usher Syndrome?	‘- Autosomal recessive (Ch 1q41; USH2A)	# RP + deafness + obesity + endocrine dx?	"‘- Alstrom Syndrome (DM, hypertriglceridemia, etc.)"																												
235	Retina	Retinal Degenerations	RP Variants: CPEO / Kearns-Sayre	"235_ProgressiveRodDisorders_RP_2.jpg, 238_RPvariants_CPEO_1.jpg, 238_RPvariants_CPEO_2.jpg"	RP*Ptosis*3rd degree heart block	# Features:	"‘- RP + CPEO (EOM limitations + ptosis)
- Also: heart block (Kearns-Sayre)"	# What pathological findings do you expect to see on muscle biopsy?	‘- Ragged red fibers	# What is the inheritance pattern of CPEO / Kearns-Sayre?	‘- Mitochondrial	# Treatment?	‘- Coenzyme Q10																										
239	Retina	Retinal Degenerations	Progressive Cone Disorders	"239_ProgressiveConeDisorders_ConeDystrophy_1.jpg, 239_ProgressiveConeDisorders_ConeDystrophy_2.jpg"	nil	# What is the inheritance pattern of Cone Dystrophy?	"‘- Variable, onset usually in teens
- May involve rods later in life"	# Symptoms?	"‘- Progressive central VA loss 
- Hemeralopia (day blindness) 
- Photophobia"	# Fundus findings?	"‘- Bull’s eye maculopathy
- Optic pallor
- Vessels NOT attenuated; unlike rod dystrophies like RP"																												
240	Retina	Retinal Degenerations	Enhanced S-cone Disease	"240_EnhancedSConeDisease_GoldmannFavreSyndrome_1.png, 240_EnhancedSConeDisease_GoldmannFavreSyndrome_2.png"	nil	# Definition of Goldmann-Favre Syndrome?	"‘- No rods, cones doubled (92% S-cones)
- Similar to RP + juvenile retinoschisis	
- Presentation: Young child with night blindness"	# Clinical features?	"‘- Night blindness & blue light sensitivity
- Nummular yellow lesions along arcades (not pigment spicules like RP)
- Macular schisis (no leakage on FA)
- ON pallor & attenuated vessels
- Optically-empty vitreous "	# Inheritance?	‘- Autosomal recessive (defect in NR2E3 transcription factor)	# How to distinguish from X-linked retinoschisis?	"‘- Both ERG/EOG abnormal 
(EOG normal in X-linked retinoschisis)"																										
241	Retina	Retinal Degenerations	Juvenile X-linked Retinoschisis	"241_Retinoschisis_XLinkedJuvenilleRetinoschisis_1.png, 241_Retinoschisis_XLinkedJuvenilleRetinoschisis_2.jpg"	nil	# Split at what layer?	‘- NFL (young plays in the NFL)	# Common location?	"‘- Macula (microcysts, radiating folds, but no leakage on FA)
- Associated with vitreous hemorrhage and vitreous veils"	# ERG/EOG?	‘- Negative ERG; EOG normal	# What is the inheritance pattern of Juvenile X-linked Retinoschisis?	‘- X-linked (RS1 gene)	# Female carriers?	"‘- Normal fundus
(unlike choroideremia, RP, albinism)"																								
247	Retina	Retinal Degenerations	Gyrate Atrophy	247_ChoroidalDystrophies_GyrateAtrophy.jpg	nil	# Inheritance? Enzyme defect?	" ‘- AR (Ch 10q26)
- Ornithine aminotransferase"	# Symptoms?	"‘- Nyctalopia in 1st-2nd decades, VF + VA loss"	# Clinical signs?	"‘- Peripheral paving-stone + scalloped border
- PSC
- High myopia
- Decreased EOG; normal ERG"	# Serum levels?	‘- High ornithine; low lysine	# Treatment?	‘- Vit B6 supplements > restrict arginine																								
247	Retina	Retinal Degenerations	Choroideremia	247_ChoroidalDystrophies_Choroideremia.jpg	nil	# Inheritance? Enzyme defect?	"‘- XR (Xq21; CHM gene)
- Geranyl-geranyl transferase (rab escort protein)"	# Symptoms?	"‘- Night blindness, photophobia in 1st-2nd decade, constricted VF
- Central VA stable into age 40-50s"	# Clinical signs?	"‘- Absence of RPE + choriocapillaris except in macula
- Decreased ERG & EOG"	# Female carriers have?	‘- Salt and pepper fundus																										
254	Retina	Retinal Degenerations	Crystalline Dystrophies	"254_CrystallineDystrophies_Systemic_Cystinosis_2.gif, 254_CrystallineDystrophies_Systemic_Cystinosis_3.gif"	Crystals in the cornea and conjunctiva*Crystal formation in the left cornea	# What are the Systemic causes?	"‘- Primary hereditary hyperoxaluria
- Cystinosis
- Secondary oxalosis
- Sjögren-Larsson syndrome (type of ichthyosis)"	# What are the Ocular causes?	"‘- Bietti crystalline dystrophy
## Inheritance: AR (CYP4V2)
## Marginal corneal dystrophy
## Choroidal sclerosis
## Progressive night blindness
## VF constriction
- Calcific drusen
- Gyrate atrophy
- Juxtafoveal telangiectasia"																														
248	Retina	Retinal Degenerations	Ddx: Salt & Pepper Fundus	248_DDx_SaltPepperFundus.jpg	nil	# Leber congenital amaurosis	nil	# Rubella retinopathy 	nil	# Congenital syphilis	nil	# CARriers:	"‘- Choroideremia
- Albinism
- RP (also abnormal ERG)
NOT juvenile retinoschisis"	# CPEO	nil	# Congenital rubella (1st tri vs. 2nd tri)?	"‘- 1st Tri: cataracts*, deafness, cardiac issues
## *microspherophakic w/ retained lens nuclei; rarely occurs with glaucoma
 - 2nd Tri: Salt & Pepper Fundus (most common)"																						
244	Retina	Retinal Degenerations	Ddx: RDS/peripherin	244_RPEdystrophies_PatternDystrophy_PatternedPigmentDystrophy_1.jpg	Pattern Dystrophy	# RP	nil	# Pattern dystrophy	nil	# Central areolar choroidal dystrophy	nil	# Cone-rod dystrophy																											
