	Category	Topic	Subtopic 	nil	Image Caption	Header 1	Info1	Header2	Info2	Header3	Info3	Header4	Info4	Header5	Info5	Header6	Info6	Header7	Info7	Header8	Info8	Header9	Info9	Header10	Info10	Header11	Info11	Header12	Info12	Header13	Info13	Header14	Info14	Header15	Info15																
209	Retina	Retinal Vascular Diseases	Diabetic Macular Edema	"209_DiabeticMacularEdema_1.jpg, 209_DiabeticMacularEdema_2.jpg, 209_DiabeticMacularEdema_3.jpg"	nil	# Clinical findings of Clinically Significant Macular Edema (CSME)?	"- Any edema within 500µm of fovea
- Hard exudates within 500µm of fovea and adjacent edema
- Edema >1 disc area in size within 1 disc diameter of fovea"	# Treatments?	"- Anti-VEGF
- Steroid
- Focal/grid laser"	# Therapeutic effect of intravitreal steroids?	"‘- Improves VA/CSME up to 2 yrs
- Not as effective as focal per DRCR.net Protocol B
- Pseudophakic: triamcinolone+laser = Lucentis+laser, but more glaucoma
- Vision gain not dependent on amt of initial edema
- Increased risk of glaucoma/cataract"	# Results from RISE and RIDE?	"‘- Lucentis 0.3 vs 0.5 vs sham, qmonth
- At 24mo: Lucentis 0.3 = 0.5 > sham
- At 36mo: Lucentis 0.3 = 0.5 > sham
- Slightly greater thromboembolic events with 0.5mg dosing"																																						
212	Retina	Retinal Vascular Diseases	DR Screening/Monitoring	nil	nil	What is the frequency for screening/monitoring:	nil	# Pregnant women?	"‘- Before conception or in 1st tri, q3mo"	# New dx <30 yo?	"‘- Within 5 yrs, then yearly"	# New dx >31 yo?	"‘- At diagnosis, then yearly"	# Mild NPDR?	‘- Every 9 months	# Moderate NPDR?	‘- Every 6 months	# Severe NPDR?	‘- Every 4 months	# Severe NPDR + CSME?	‘- Every 2-4 months	# PDR?	‘- Every 2-3 months																												
212	Retina	Retinal Vascular Diseases	DR Epidemiology	nil	nil	# Prevalence of DR after 20 years in DM1 and DM2?	"‘- Based on the Wisconsin Epidemiologic Study of Diabetic Retinopathy (WESDR):
## DM1 – 99% with DR
## DM2 – 60% with DR
(Wisconsin white population)"	"# In patients with HTN, intensive BP control may worsen retinal perfusion"	nil	"# In patients with carotid dx, mild-mod carotid dx may worsen ischemia"	nil																																								
211	Retina	Retinal Vascular Diseases	DR Management	nil	Diabetic Retinopathy Clinical Research (DRCR) Network	# Results from The Diabetes Control and Complications Trial (DCCT)?	"‘- Intensive > conventional glycemic control in DM1 pts, reduces onset and progression of DR and macular edema"	# Results from the United Kingdom Prospective Diabetes Study (UKPDS)?	"‘- Intensive > conventional glycemic control in DM2 pts, reduces onset and progression of DR
- Intensive BP control slowed progression of DR 
- No difference between ACEi and BB"	# Results from the Diabetic Retinopathy Vitrectomy Study (DRVS)?	"‘- Early (<6 mo) vs. late (>1 yr) PPV for non-clearing VH 
- Early PPV improved VA outcome in DM1, not DM2 patients
- Indications for PPV:
## Dense non-clearing VH
## TRD threatening macula
## Combined TRD/RRD
## Diffuse DME with traction
## Recurrent VH despite
    max PRP"																																								
208	Retina	Retinal Vascular Diseases	Retinal Lasers	208_RetinalLasers_PRP.png	Panretinal (Scatter) Photocoagulation (Fresh)	# Panretinal photocoagulation (PRP) laser parameters?	"‘- >1200 spots, 500µm, 0.1s, 1/5 apart"	# Timing of PRP with respect to CEIOL?	- PRP before CE/IOL if view clear	# Side effects of PRP?	"‘- Lost of peripheral vision
- Decrease in night or color vision
- Glare, photopsias
- Worsens macular edema"	# Reason to avoid 3:00 and 9:00?	‘- Pain from long ciliary nerves	# Focal/grid laser parameters?	"- 50-100µm, 0.1s
- Whiten microaneurysm (MA) for focal or >1 spot size for grid"	"# Treatment sequence for focal/grid laser for CSME, PRP and CEIOL?"	"- Treat CSME before PRP for high risk Proliferative Diabetic Retinopathy (hrPDR)
- Treat CSME before CE/IOL"	# Treat DME before PRP	nil	# Treat DME before cataract surgery	nil	# Diabetic Retinopathy Study (DRS) findings:	"‘- Argon/Xenon laser was used for:
## Severe NPDR OU 
## High-risk PDR in one eye
- Defined high-risk PDR
- PRP for high-risk PDR: 50% reduction in severe VA loss x 5 yrs"	# Early Treatment Diabetic Retinopathy Study (ETDRS) findings:	"<u>Early PRP (for severe NPDR)</u>
- Small improvement in risk of severe VA loss (<5/200) x 4 mo
- Most effective in DM2 patients
<u>Focal laser (for CSME)</u>
- 50% reduction of mod VA loss in CSME over 3 yrs (15% vs 30%)
- Increased chance for VA gain
- Reduced retinal thickening
<u>ASA</u>
- 650mg/day did not affect rate of retinopathy or vision loss"																										
	Retina	Retinal Vascular Diseases	DRCR Protocol	211_Table.png	Diabetic Retinopathy Clinical Research (DRCR) Network	# Results from Protocol B?	"‘- 1mg vs 4mg IVT vs focal/grid laser for DME
- Laser > 1mg/4mg IVT"	# Results from Protocol I?	"- Lucentis +/- prompt laser vs 4mg IVT + prompt laser vs Sham injection + prompt laser for DME
- Lucentis > IVT/sham, prompt = delayed laser"	# Results from Protocol S?	"- PRP vs Lucentis for PDR
- Lucentis = PRP for VA
- Lucentis > PRP for VH, VF loss"	# Results from Protocol T?	"- Lucentis vs Avastin vs Eylea PRN for DME
- Eylea > Lucentis/Avastin for VA > 20/40 @ 1yr, same @ 2yr"																																						
213	Retina	Retinal Vascular Diseases	Radiation Retinopathy	"213_RadiationRetinopathy_1.jpg, 213_RadiationRetinopathy_2.jpg"	nil	# Cause?	- External beam radiation or plaque brachytherapy	# Usual onset?	"‘- ~18mo s/p external XRT
- Earlier for brachytherapy"	# Usual amount of radiation?	‘- 30-35Gy (min 15Gy)	# Clinical appearance is similar to what disease?	‘- Diabetic retinopathy	# Treatment?	"‘- Similar to diabetic retinopathy
- Consider Avastin q3month for prophylaxis"																																				
214	Retina	Retinal Vascular Diseases	Sickle Cell Retinopathy	214_SickleCellRetinopathy_1.jpg	nil	# Clinical findings?	"‘- Angioid streaks
- Comma sign (segmented conj vessels)"	# Clinical findings resulting from hemorrhage in Nonproliferative Sickle Cell Retinopathy?	"‘- <u>Salmon patch</u> (intraretinal hemorrhage after arteriolar occlusion)
- <u>Black sunburst</u> (RPE hypertrophy, hyperplasia)
- <u>Iridescent spots</u> (old resorbed heme)"	# Stages of proliferative sickle cell retinopathy? (5)	"‘- <u>Stage 1</u>: Peripheral arteriolar occlusion
-  <u>Stage 2</u>: Peripheral AV anastomoses
-  <u>Stage 3</u>: Preretinal sea fan NV (posterior border of nonperfusion; may autoinfarct and turn white)
-  <u>Stage 4</u>: Vitreous hemorrhage
-  <u>Stage 5</u>: Tractional RD"	# Hemoglobinopathy? (SC versus SS)	"‘- Worst ocular sx: SC disease
- Worst systemic sx: SS disease"	# Gene mutated?	‘- V --> G substitution at 6th position on B-polypeptide chain	# What ocular hypertension medication should be avoided?	‘- Carbonic anhydrase inhibitors	# Treatment?	"‘- Scatter laser to ischemic retina
- PPV precautions (avoid encircling SB or taking down EOMs, avoid epi in local anesthetic, ensure O2 & hydration)"																																
215	Retina	Retinal Vascular Diseases	Eales Disease	"215_EalesDisease_1.jpg, 215_EalesDisease_2.jpg"	nil	# Definition?	‘- Idiopathic obliterative perivasculitis of peripheral retina	# Clinical findings?	- Bilateral peripheral NV + VH	# Most prevalent in which demographic group?	‘- Young males	# Endemic in which country?	‘- India	# Major serologic/laboratory finding associated with disease?	‘- TB hypersensitivity																																				
225	Retina	Retinal Vascular Diseases	Coat's Disease	"225_CoatsDisease_1.jpg, 225_CoatsDisease_2.jpg, 225_CoatsDisease_3.jpg, 225_CoatsDisease_4.jpg, 225_CoatsDisease_5.jpg"	nil	# Clinical findings?	"‘- Exudates
- “Light bulb” retinal aneurysms
- NV rare"	# Most common presentation?	‘- Young males (1st decade) with leukocoria from exudative RD	# Inheritance pattern?	"- Congenital, non-hereditary 
- 90% unilateral; 50% progressive
- 10:1 male:female"	# Stages? (5)	"‘- <u>Stage 1</u>: retinal telangiectasia only 
- <u>Stage 2</u>: telangiectasia & exudation
- <u>Stage 3</u>: exudative RD (a: subtotal, b: total)
- <u>Stage 4</u>: total RD + glaucoma
- <u>Stage 5</u>: advanced end-stage dx"	# Treatment?	"‘- Laser (stage 1); Cryo (stages 2 & 3)
- 3 mo to retreat (exudates resolve slowly)"	# DDx of submacular fibrosis in a child?	"‘- Coat’s disease
- ROP
- FEVR
- Fascioscapulohumeral muscular dys.
- VHL"																																		
229	Retina	Retinal Vascular Diseases	Irvine-Gass Syndrome	"229_MacularEdema_IrvineGassSyndrome_1.png, 229_MacularEdema_IrvineGassSyndrome_2.png"	Chronic Pseudophakic Cystoid Macular Edema in a Patient with Diabetes*FA of CME	# Definition?	"‘- CME after cataract surgery
- Hyperoptic shift
- ~6-10wks post-op; <6mo duration
- ~95% spontaneously resolve"	# Classic presentation?	- Hyperopic shift after cataract surgery	# Treatment?	"- NSAIDs (gtt)
- Steroid (gtt or PSTK)
- CAIs (gtt or PO)"																																								
229	Retina	Retinal Vascular Diseases	Cystoid Macular Edema (CME)	nil	nil	# DDx of CME?	"‘- <u>D</u>iabetes
- <u>E</u>pinephrine
- <u>P</u>ars planitis
- <u>R</u>P
- <u>I</u>rvine-Gass
-<u> V</u>ein occlusion
- <u>E</u>2 analogues (prostaglandins)
- <u>N</u>icotinic acid (Niacin)
<i>DEPRIVEN</i>"	# DDx of CME w/o leakage?	"‘- <u>G</u>oldman-Favre (enhanced S-cone)
- <u>Juvenile</u> X-linked retinoschisis
- <u>R</u>P
- <u>N</u>icotinic acid
<i>Good Young Retinas Never Leak</i>"																																										
204	Retina	Retinal Vascular Diseases	Purtscher's Retinopathy	"204_Heme_PurtschersRetinopathy_1.jpg, 204_Heme_PurtschersRetinopathy_2.jpg"	nil	# Most common location?	"‘- Peripapillary hemorrhages, cotton-wool spots, and edema after acute compression injuries to head or thorax"	# FA appearance?	- Arteriolar leakage	# Etiology?	- Injury-induced complement activation and granulocyte aggregation	# Other causes?	"‘- Acute pancreatitis
- SLE (Lupus)
- Amniotic fluid embolism
- Fat embolism
- Renal failure
- Retrobulbar anesthesia"																																						
227	Retina	Retinal Vascular Diseases	Branch Retinal Vein Occlusion (BRVO)	227_VenousOcclusions_BRVO.jpg	BRVO	# Clinical findings?	‘- Usually superotemporal at AV crossing	# Risk factors?	"‘- HTN
- Cardiac dx
- High BMI
- H/o glaucoma
- NOT diabetes"																																										
227	Retina	Retinal Vascular Diseases	Central Retinal Vein Occlusion (CRVO)	227_VenousOcclusions_CRVO_2.jpg	CRVO	# Ischemic vs non-ischemic?	"‘- Ischemic = >10DD nonperfusion
- 34% non-ischemic become ischemic s/p 36mo
- >60% ischemic develop NV"	# Risk factors?	"‘- HTN
- DM
- Cardiac dx
- Vasculitis
- Clotting dx
- Meds (diuretics, OCP)"	# DDx of optociliary shunt vessels?	"‘- RVO
- ON meningioma
- Low-grade ON glioma
- Chronic papilledema
- Chronic glaucoma"																																								
227	Retina	Retinal Vascular Diseases	BRVO/CRVO Treatments	nil	nil	# BVOS	"- Grid laser improves VA if VA<20/40 and CME>3mo
- PRP reduced risk of NV and VH, but PRP only if NV"	# CVOS	"- Grid laser reduced CME, but not VA
- PRP not reduced risk of NV, PRP only if NV (>2 clock hrs NVI or any NVA)"	# SCORE	"- BRVO: grid > IVt triamcinolone x2 (36mo)
- CRVO: IVt triamcinolone x2 > sham (24mo)
- 1mg = 4mg in efficacy, but 1mg safer"	# GENEVA	"- BRVO/CRVO: Ozurdex > sham (2mo) 
- 0.35mg = 0.7mg, high IOP with dexamethasone"	# BRAVO/CRUISE	- BRVO/CRVO: Lucentis x 6mo then PRN > sham x 6mo then PRN (6 mo)	# COPERNICUS	- CRVO: IVt Eylea 2mg qmo > sham (6 mo)																																		
228	Retina	Retinal Vascular Diseases	BRAO/CRAO	"228_ArterialOcclusions_BRAO_1.jpg, 228_ArterialOcclusions_CRAO_1.jpg, 228_ArterialOcclusions_CRAO_2.png, 248_DDx_CherryRedSpot.jpg"	BRAO*CRAO*CRAO	# Types of plaques?	"‘- Hollenhorst (cholesterol)
- Fibrin/platelets (large vessels)
- Calcific (cardiac, valvular)
- Talc (IVDA)
- Septic (endocarditis)"	# Etiology?	"‘- GCA (1-2% of CRAO)
- Sickle cell dx
- Infectious/inflammatory
- Coagulopathy
- OCP use; pregnancy"	# Risk of NVI in CRAO?	‘- 16% (c/w 60% in iCRVO)	# Treatment?	‘- PRP for NV	# DDx of cherry-red spot? (3)	"- Gangliosidoses:
## Tay-Sachs
## Sandhoff
## Niemann-Pick
- CRAO
- Trauma"																																				
228	Retina	Retinal Vascular Diseases	Ocular Ischemic Syndrome	228_OcularIschemicSyndrome.jpg	nil	# Pathophysiology?	‘- Usually carotid artery disease (>90% stenosis)	# Clinical findings?	"‘- AC inflammation (1/3 cases)
- NVI (2/3 cases)
- IOP low or normal (50%), high (50%)
- Early stage: Venous stasis retinopathy (resembles CRVO)"	# Distinguishing feature from CRVO?	‘- Dilated but NOT tortuous veins	# Diagnostic tests? (2)	"‘- FA: delayed arterial filling (95%) or delayed choroidal filling (60%)
- Ophthalmodynamometry (measures retinal artery  ocular perfusion pressure)"	# Treatment?	"‘- PRP for NV
- Carotid endarterectomy (can increase IOP by restoring ciliary body function)"																																				
216	Retina	Pediatric Retina Disorders	DDx of Pediatric Leukocoria 	216_PediatricLeukocoria_Retinoblastoma_2.png	nil	# DDx of pediatric leukocoria?	"- Retinoblastoma
- PFV
- ROP
- Cataract
- Coloboma of choroid or optic disc
- Uveitis
- Toxocariasis
- Congenital retinal folds
- Coats disease
- Organized vitreous hemorrhage
- FEVR
- Norrie disease
- Retinal detachment
- Myelinated nerve fibers"																																												
217	Retina	Pediatric Retina Disorders	Retinoblastoma	"217_Retinoblastoma_1.jpg, 217_Retinoblastoma_2.jpg, 217_Retinoblastoma_3.gif, 218_Table.png"	 *Rosette*Histopathology*International Classification of Intraocular Retinoblastoma	# Retinoblastoma is the most common primary _____ malignancy in children	- intraocular	# Inheritance pattern?	- Autosomal dominant	# Frequency of bilaterality verus unilaterality?	"- 1/3 bilateral, 2/3 unilateral"	# Frequency of hereditary versus sporadic?	"‘- 1/3 hereditary, 2/3 sporadic"	# Clinical findings?	"‘- Leukocoria or strabismus usually before age 3
- Early tumor in macula, later in periphery
- LDH aqueous:plasma ratio >1.0
- Calcium on U/S or CT"	# Pathophysiology?	"‘- Tumor grows around blood vessels
- Flexner-Wintersteiner rosette (RB specific)
- Homer Wright (also other neuroblastomas)
- Fleurette (Photoreceptor differentiation)"	# Prognosis?	"‘- Good with early tx
- Spontaneous regression rare
- Enucleation, radiation, chemo, cryo, laser"	# Goal of Reese-Ellsworth classification?	"- Predicts visual prognosis, NOT survival"	# Definition of trilateral retinoblastoma?	‘- Bilateral tumor plus pineal gland	# Common secondary malignancies?	"‘- Osteosarcoma, malignant melanoma"																										
219	Retina	Pediatric Retina Disorders	Retinocytoma	"219_Retinoblastoma_Retinocytoma.png, 219_Table.png"	nil	# Definition?	"‘- Tumor arising from Rb mutation, but benign
- Occurs in siblings with retinoblastoma"	‘- Additional information:	‘- May undergo malignant transformation (rare)																																										
220	Retina	Pediatric Retina Disorders	Persistent Fetal Vasculature (PFV)	"220_PFV_1.png, 220_PFV_2.jpg"	nil	# Definition?	‘- Failure of hyaloid vasculature to regress	# Inheritance pattern?	‘- Non-hereditary	# Clinical findings?	"‘- Unilateral
- Microphthalmos (disorganized)
- Fibrovascular sheath behind lens contracts to elongate ciliary processes
- Fibrovascular stalk from disc to posterior lens capsule
- Cataract
- Glaucoma (shallow AC, angle closure)
- RD and intraocular hemorrhage
- Retina may extend to pars plicata
- No systemic defects"	# Prognosis?	‘- Depends on degree of retinal involvement	# Location of Mittendorf dot?	- Inferonasal																																				
221	Retina	Pediatric Retina Disorders	Norrie Disease	nil	nil	# Definition?	‘- Bilateral congenital blindness	# Most common presentation?	‘- Newborn baby boy with bilateral retinal detachments	# Inheritance pattern?	"‘- XR, males"	# Fundus appearance?	"‘- Bilateral retinal detachment within first few weeks of life
- Phthisis by age 10"	# Clinical findings?	"‘- Hearing impairment
- Mental retardation"																																				
222	Retina	Pediatric Retina Disorders	Retinopathy of Prematurity (ROP)	222_ROP.jpg	ROP Graphic	# Screening criteria?	"‘- Gestation <30 weeks
- Birth weight <1500g
- 1500-2000g or >30wks if high risk or unstable clinical course"	# Risk factors?	‘- High oxygen and poor weight gain (WINROP)	# When to start screening?	"‘- At 4-6 wks of age or 31-33 wks post-conception (whichever is later) 
- Needs >2 BIO exams
- Screen weekly until zone II vascularizes or ROP regresses"	# When do normal vessels complete vascularization?	"‘- 36-40 wks 
## Nasal at 36wks
## Temporal at 40wks"	# When is ROP likely to progress?	‘- 36-40 weeks	# Stages and zones affected? (5) 	"‘- Stage 1: Demarcation line
- Stage 2: Elevated ridge
- Stage 3: Extraretinal fibrovascular tissue
- Stage 4: Subtotal RD
- Stage 5: Total RD"	# Definition of threshold ROP according to CRYO-ROP?	‘- Stage 3 in zone 1 or 2 in 5 contiguous or 8 non-contiguous clock hours <i>with</i> plus disease																																
223	Retina	Pediatric Retina Disorders	ROP Treatments	223_Table.png	nil	# STOP-ROP	"‘- Supplemental O2 at O2Sat 96-99% did not cause progression of prethreshold ROP, or reduce surgery"	# LIGHT-ROP	‘-  Exposure to ambient light does not affect incidence/severity of ROP	# CRYO-ROP	‘- Cryotherapy for threshold disease reduces vision loss	# ET-ROP	"‘- Early > conventional therapy of pre-threshold disease in reducing VA loss
<u>Treat type 1 ROP early (<48 hrs):</u>
- Zone I, any stage, plus disease
- Zone I, stage 3, no plus disease
- Zone II, stage 2-3, plus disease
<u>Watch type 2 ROP:</u>
- Zone I, stage 1 or 2, no plus disease
- Zone II, stage 3, no plus disease"	# ICROP	"<u>Aggressive Posterior ROP (Rush dx)</u>
- Dilation and tortuosity in 4 quads out of proportion to periphery
- Direct AV shunting 
- Not follow Stage 1-3 progression
- NV may be flat, featureless 
- More urgent laser required
<u>Defined preplus (int vascular chg)</u>"	# BEAT-ROP	"‘- Avastin vs. laser
- Treat with Avastin for stage 3 ROP only for zone I but not zone II
- Development of peripheral vessels continue after Avastin but not laser"																																		
224	Retina	Pediatric Retina Disorders	Familial Exudative Vitreoretinopathy (FEVR)	"224_FEVR_1.jpg,224_FEVR_2.tif,224_FEVR_3.tif"	nil	# Definition?	‘- Failure of temporal retina to vascularize (like ROP in full-term infant)	# Clinical findings?	"‘- Bilateral
- Retinal exudates
- Tractional RD
- Retinal folds
- Temporal dragging of fovea
- Exotropia"	# Inheritance pattern?	‘- AD usually (FEVR1; Ch 11)(also XR)	# Stages? (5)	"‘- Stage 1: Avascular peripheral retina
- Stage 2: NV, exudates
- Stage 3: Subtotal extramacular RD
- Stage 4: Subtotal macular RD
- Stage 5: Total RD"																																						
232	Retina	Retinal Degenerations & Toxicities	CSNB	"232_StationaryRodDisorders_FundusAlbipunctatus.png, 232_StationaryRodDisroders_OguchisDisease.jpg, 255_Table.png"	Fundus Albipunctatus*Normal* 	# What does CSNB stand for?	- Congenital Stationary Night Blindness	# Clinical findings?	"‘- Prolonged recovery of rhodopsin after light exposure
- Nyctalopia; delayed dark adaptation
- Normal fundus"	# Definition of Flynn phenomenon?	‘- Paradoxical pupil constriction in dark	# Flynn phenomenon is observed in which other ocular diseases? (2)	"- LCA
- Achromatopsia"	# ERG appearance?	‘- Rod ERG decreased but normalizes after dark adaption	# Types? (3)	"‘- <u>Nougaret</u> (AD): no rods
- <u>Riggs</u> (AR): some rods
- <u>Schubert-Bornschein</u> (XR;AR): myopia, some to no rods
## Negative ERG"	# Variants? (3)	"‘- <u>Fundus albipunctatus</u> (AR): ERG/EOG abnormal
 - <u>Oguchi’s disease</u> (AR): ERG abnormal, EOG normal
 - <u>Kandora flecked retina</u> (AR)"	# Definition of Mizuo-Nakamura phenomenon?	‘- Yellow sheen appears normal after dark adaptation	# Mizuo-Nakamura phenomenon is observed in which other ocular diseases? (2) 	"‘- Cone dystrophy
- X-linked schisis"																												
233	Retina	Retinal Degenerations & Toxicities	Achromatopsia	"233_Achromatopsia_1.jpg, 233_Achromatopsia_2.jpg, 233_Achromatopsia_3.jpg, 255_Table.png"	nil	# Clinical findings?	"‘- Poor central VA, nystagmus, photphobia
- Normal-appearing fundus
- Paradoxical pupil constriction in dark"	# Rod monochromatism	"‘- AR (CNGA3, CNGB3, GNAT2)
- No cone function; rods normal
- Sees gray
- Loss of photopic response on ERG"	# Definition of <u>blue cone monochromatism</u>?	"‘- XR (OPN1W, OPN1MW)
- Only blue cones functional
- Slightly better VA than rod monochromatism"	# Other color disorders:	"‘- Protanopia - XR
- Deuteranopia – XR 
- Tritanopia – AD"	# Color vision tests? (4)	"(1) <u>Ishihara</u>:
- Only for protanopia/deuteranopia
(2) <u>Hardy-Rand-Ritter</u>:
- Like Ishihara, but detects all 3 color deficits
(3) <u>Anomaloscope</u>: 
- Luminosity matching
- Good for protanopia/deuteranopia
(4) <u>Farnsworth-15</u>:
- Good for acquired vs. inherited DDx"																																				
234	Retina	Retinal Degenerations & Toxicities	Leber Congenital Amaurosis (LCA)	"234_LCA_1.jpg, 234_LCA_2.jpg, 255_Table.png"	nil	# Most common presentation?	"‘- 6 m/o with nystagmus, flat ERG, poor visual response, hyperopia"	# Which photoreceptors are affected?	‘- Both rods and cones	# Clinical findings?	"‘- Poor vision
- Nystagmus
- Sluggish pupils
- Paradoxic pupils (constrict in dark)
- Oculodigital reflex
- Keratoconus
- Hyperopia"	# ERG appearance?	‘- Flat ERG is diagnostic	# Fundus appearance?	"‘- Variable – normal (usually at birth), bone spicules, salt & pepper, white dots"	# Inheritance pattern?	‘- Autosomal recessive	# Treatment?	‘- None																																
235	Retina	Retinal Degenerations & Toxicities	Progressive Rod Disorders	235_ProgressiveRodDisorders_RP_2.jpg	Mid-stage RP	# Types of retinitis pigmentosa (RP)? (2)	"‘- Type 1 rod-cone
- Type 2 cone-rod"	# Clinical findings?	"‘- Bone spicules
- Waxy optic disc pallor 
- Attenuated vessels
- Pigmented vitreous cell
- Macular edema w/o leakage on FA
- PSC
- Progressive loss of night vision
- Tritan color deficiency (blue)
- HVF: mid-peripheral scotomas, eventually becomes ring scotoma"	# ERG appearance?	"‘- Decreased amplitude (A & B waves)
- Increased implicit time
- ERG decreases 50% every 7yrs (w/o treatment)"	# Vision impairment associated with RP?	‘- Myopia (unlike LCA associated with hyperopia)	# Inheritance pattern?	"‘- <u>Sporadic/AR</u>
## Most common
- <u>AD</u> 
## Least severe
## Rhodopsin – Ch3
## Common mutation P23H
## RDS/peripherin
- <u>XR</u> 
## Least common
## Earliest onset
## Fastest progression
## Worse prognosis"	# Treatment?	"‘- Vitamin A, <u>NOT vitamin E</u>
- Lutein
- DHA
- Oily fish"	# Definition of <u>sector RP</u>?	"‘- RP in a part of the retina, usually inferotemporal"	# Definition of <u>inverse RP</u>?	‘- RP in macula	# Definition of <u>retinitis punctata albescens</u>?	‘- RP w/ white spots	# Definition of <u>RP sine pigmento</u>?	‘- RP w/o RPE changes																										
235	Retina	Retinal Degenerations & Toxicities	Bassen Kornzweig	"235_ProgressiveRodDisorders_RP_2.jpg, 236_RPvariants_Acanthocytes.jpg, 255_Table.png"	RP*Acanthocytes	# Clinical findings?	"‘- RP w/ hereditary abetalipoproteinemia
- Poor vitamin A absorption + steatorrhea
- Also: ataxia, acanthocytosis"	# Inheritance pattern?	- AR	# Treatment?	"‘- Low fat diet, vitamin A + E"																																								
236	Retina	Retinal Degenerations & Toxicities	Refsum Disease	"236_RPvariants_RefsumDisease_1.jpg, 236_RPvariants_RefsumDisease_2.jpg, 255_Table.png"	nil	# Clinical findings?	"‘- RP w/ phytanic acid oxidase deficiency
- High phytanic acid, copper, + ceruloplasmin
- No bone spicules
- Enlarged K nerves
- Also: Ataxia, deafness, anosmia, ichthyosis, cardiomyopathy, symmetric short 4th toes"	# Inheritance pattern?	- AR (7q21-22; PEX1)	# Treatment?	"‘- Low phytanic acid diet (avoid fats, milk)"																																								
235	Retina	Retinal Degenerations & Toxicities	Spielmeyer-Vogt-Batten-Mayou	"235_ProgressiveRodDisorders_RP_2.jpg, 255_Table.png"	RP 	# Clinical findings?	"‘- RP w/ neuronal ceroid lipofuscinosis
- Lipofuscin accumulates in lysosomes
- Also: seizure, dementia, ataxia, vacuolization of peripheral lymphocytes"	# Inheritance pattern?	"‘- AR, usually Jewish girls"																																										
235	Retina	Retinal Degenerations & Toxicities	Bardet-Biedl-Laurence-Moon	"235_ProgressiveRodDisorders_RP_2.jpg, 237_RPvariants_BardetBiedl.jpg, 255_Table.png"	RP*Polydactyly	# Clinical findings?	"‘- RP w/ polydactyly + obesity (Bardet-Biedl)
- RP w/ spastic paresis (Laurence-Moon)
- Also in both: short stature, hypogonadism, mental retardation, urethral reflux/pyelonephritis"	# Inheritance pattern?	"‘- AR, likely multigenic"																																										
235	Retina	Retinal Degenerations & Toxicities	Usher Syndrome	"235_ProgressiveRodDisorders_RP_2.jpg, 255_Table.png"	RP 	# Clinical findings?	"‘- RP w/ deafness
- Cilia defect (photoreceptors + hair cells)
- Also: ataxia, MR, low phosphate (Rickets)"	# Inheritance pattern?	‘- AR (Ch 1q41; USH2A)	"# Dx for RP w/ deafness, obesity + endocrine?"	"‘- Alstrom Syndrome (DM, hypertriglceridemia, etc.)"																																								
235	Retina	Retinal Degenerations & Toxicities	CPEO / Kearns-Sayre	"235_ProgressiveRodDisorders_RP_2.jpg, 238_RPvariants_CPEO_1.jpg, 238_RPvariants_CPEO_2.jpg, 255_Table.png"	RP*Ptosis*3rd degree heart block	# Clinical findings?	"‘- RP w/ CPEO (EOM limitations + ptosis)
- Also: heart block (Kearns-Sayre)"	# Pathological finding on muscle biopsy?	‘- Ragged red fibers	# Inheritance pattern?	‘- Mitochondrial	# Treatment?	‘- Coenzyme Q10																																						
239	Retina	Retinal Degenerations & Toxicities	Progressive Cone Disorders	"239_ProgressiveConeDisorders_ConeDystrophy_1.jpg, 239_ProgressiveConeDisorders_ConeDystrophy_2.jpg, 255_Table.png"	nil	# Inheritance pattern?	"‘- Variable, onset usually in teens
- May involve rods later in life"	# Clinical findings?	"‘- Progressive central VA loss 
- Hemeralopia (day blindness) 
- Photophobia"	# Fundus appearance?	"‘- Bull’s eye maculopathy
- Optic pallor
- Vessels NOT attenuated (unlike rod dystrophies such as RP)"																																								
240	Retina	Retinal Degenerations & Toxicities	Enhanced S-cone Disease	"240_EnhancedSConeDisease_GoldmannFavreSyndrome_1.png, 240_EnhancedSConeDisease_GoldmannFavreSyndrome_2.png, 255_Table.png"	nil	# Definition?	"‘- No rods, but cones double (92% S-cones)
- Similar to RP + juvenile retinoschisis	"	# Most common presentation?	‘- Young child with night blindness	# Clinical findings?	"‘- Night blindness w/ blue light sensitivity
- Nummular yellow lesions along arcades (not pigment spicules like RP)
- Macular schisis (no leakage on FA)
- ON pallor + attenuated vessels
- Optically-empty vitreous "	# Inheritance?	‘- Autosomal recessive (defect in NR2E3 transcription factor)	# How to distinguish from X-linked retinoschisis?	"‘- Both ERG/EOG abnormal 
(EOG normal in X-linked retinoschisis)"																																				
241	Retina	Retinal Degenerations & Toxicities	Juvenile X-linked Retinoschisis	"241_Retinoschisis_XLinkedJuvenilleRetinoschisis_1.png, 241_Retinoschisis_XLinkedJuvenilleRetinoschisis_2.jpg, 255_Table.png"	nil	# Peripheral schisis at which layer?	"‘- NFL
<i>Young plays in the <u>NFL</u></i>"	# Common location?	"‘- Macula (microcysts, radiating folds, but no leakage on FA)
- Associated with vitreous hemorrhage and vitreous veils"	# ERG appearance?	‘- Negative ERG	# EOG appearance?	- Normal EOG	# Inheritance pattern?	‘- X-linked (RS1 gene)	# Clinical findings in female carriers?	"‘- Normal fundus (Unlike choroideremia, RP, albinism)"																																		
