Category	Topic	Subtopic 	nil	Image Caption	Header 1	Info1	Header2	Info2	Header3	Info3	Header4	Info4	Header5	Info5	Header6	Info6	Header7	Info7	Header8	Info8	Header9	Info9	Header10	Info10	Header11	Info11	Header12	Info12	Header13	Info13	Header14	Info14	Header15	Info15
Retina	Vascular Diseases	Coat's Disease	"225_CoatsDisease_1.jpg, 225_CoatsDisease_2.jpg, 225_CoatsDisease_3.jpg, 225_CoatsDisease_4.jpg, 225_CoatsDisease_5.jpg"	nil	# Features:	"‘- Exudates + “light bulb” retinal aneurysms
- NV rare"	# Most common presentation?	"‘- Young males (1st decade) with leukocoria from exudative RD
- Congenital, non-hereditary 
- 90% unilateral; 50% progressive
- 10:1 male:female"	# Stages?	"‘- Stage 1: retinal telangiectasia only 
- Stage 2: telangiectasia & exudation
- Stage 3: exudative RD (a: subtotal, b: total)
- Stage 4: total RD + glaucoma
- Stage 5: advanced end-stage dx"	# Treatment?	"‘- Laser (stage 1); Cryo (stages 2 & 3)
- 3 mo to retreat (exudates resolve slowly)"	# DDx of submacular fibrosis in a child?	"‘- Coat’s disease
- ROP
- FEVR
- Fascioscapulohumeral muscular dys.
- VHL"																				
Retina	Vascular Diseases	Causes of Macular Edema/CME	"229_MacularEdema_IrvineGassSyndrome_1.png, 229_MacularEdema_IrvineGassSyndrome_2.png"	Chronic Pseudophakic Cystoid Macular Edema in a Patient with Diabetes*FA of CME	# Irvine-Gass Syndrome: Features?	"‘- CME after cataract surgery
- ~6-10wks post-op; <6mo duration
- ~95% spontaneously resolve
- Classic Presentation: Hyperopic shift after cataract surgery"	# Irvine-Gass Syndrome: Treatment?	"- NSAIDs (gtt)
- Steroid (gtt or PSTK)
- CAIs (gtt or PO)"	# DDx of CME?	"‘- Diabetes
- Epinephrine
- Pars planitis
- RP
- Irvine-Gass
- Vein occlusion
- E2 analogues (prostaglandins)
- Nicotinic acid (Niacin)
DEPRIVEN"	# DDx of CME w/o leakage?	"‘- Goldman-Favre (enhanced S-cone)
 - Juvenile X-linked retinoschisis
 - RP
 - Nicotinic acid
 Good Young Retinas Never Leak"																						
Retina	Vascular Diseases	Purtscher's Retinopathy	"204_Heme_PurtschersRetinopathy_1.jpg, 204_Heme_PurtschersRetinopathy_2.jpg"	nil	"Terson Syndrome
# Features:"	"‘- Vitreous + subhyaloid heme caused by acute rise in ICP
- 30% subarachnoid or subdural hemorrhage have intraocular heme"	# Treatment?	- PPV (works well)																										
Retina	Vascular Diseases	Venous Occlusions	"227_VenousOcclusions_BRVO.jpg, 227_VenousOcclusions_CRVO_1.jpg, 227_VenousOcclusions_CRVO_2.jpg"	BRVO*Non-Ischemic CRVO*CRVO	# BRVO: Features?	"‘- Usually superotemporal at AV crossings
- Prognosis variable"	# BRVO: Risks factors?	"‘- HTN, cardiac dx, high BMI, h/o glaucoma
- NOT diabetes"	# CRVO: Features?	"‘- Non-ischemic vs Ischemic 
## Ischemic = >10DD nonperfusion
## 34% non-ischem b/c ischem s/p 36mo
## >60% ischemic develop NV
- Prognosis good if VA<20/40 (CVOS)"	# CRVO: Risks factors?	"‘- HTN, DM, cardiac dx, vasculitis, clotting dx, meds (diuretics, OCP)"	# DDx of optociliary shunt vessels?	"‘- RVO, ON meningioma, low-grade ON glioma, chronic papilledema, chronic glaucoma"	# Treatments?	"- BVOS
## Grid laser improves VA if VA<20/40 + CME>3mo
## PRP reduced risk of NV + VH, but PRP only if NV
- CVOS
## Grid laser reduced CME but not VA
## PRP not reduced risk of NV, PRP only if NV (>2 clock hrs NVI or any NVA)
- SCORE
## BRVO: grid > IVt triamcinolone x2 (36mo)
## CRVO: IVt triamcinolone x2 > sham (24mo)
## 1mg = 4mg in efficacy, but 1mg safer
- GENEVA
## BRVO/CRVO: Ozurdex > sham (2mo) 
## 0.35mg = 0.7mg, high IOP with dexamethasone
- BRAVO/CRUISE
## BRVO/CRVO: Lucentis x 6mo then PRN > sham  x 6mo then PRN (6 mo)
- COPERNICUS
## CRVO: IVt Eylea 2mg qmo > sham (6 mo)"																		
Retina	Vascular Diseases	Arterial Occlusions: BRAO and CRAO	"228_ArterialOcclusions_BRAO_1.jpg, 228_ArterialOcclusions_CRAO_1.jpg, 228_ArterialOcclusions_CRAO_2.png"	BRAO*CRAO*CRAO	# Types of plaques?	"‘- Hollenhorst (cholesterol)
- fibrin/platelets (large vessels)
- calcific (cardiac, valvular)
- talc (IVDA)
- septic (endocarditis)"	# Etiology?	"‘- GCA (1-2% of CRAO)
- Sickle cell dx
- Infectious/inflammatory
-  Coagulopathy
-  OCP use; pregnancy"	# Risk of NVI in CRAO?	‘- 16% (c/w 60% in iCRVO)	# Treatment?	‘- PRP for NV																						
Retina	Vascular Diseases	Arterial Occlusions: Ocular Ischmemic Syndrome	228_OcularIschemicSyndrome.jpg	nil	# Which blood vessel is usually used to make the diagnosis?	‘- Usually carotid artery dx (>90% stenosis)	# Clinical Features?	"‘- AC inflammation (1/3 cases)
- NVI (2/3 cases)
- IOP low or normal (50%), high (50%)
- Early stage = venous stasis retinopathy (resembles CRVO)"	# Distinguish from CRVO?	‘- Dilated but NOT tortuous veins	# What measurements are used to make the diagnosis?	"‘- FA: delayed arterial filling (95%) or delayed choroidal filling (60%)
- Ophthalmodynamometry (measures retinal artery  ocular perfusion pressure)"	# Treatments?	"‘- PRP for NV
- Carotid endarterectomy (can increase IOP by restoring ciliary body function)"																				
Retina	Vascular Diseases	Ddx: Cherry-Red Spot	248_DDx_CherryRedSpot.jpg	nil	# Gangliosidoses (3)	"‘- Tay-Sachs
- Sandhoff
- Niemann-Pick"	# CRAO	nil	# Trauma																									
Retina	Pediatric Disorders	DDx Pediatric Leukocoria 	216_PediatricLeukocoria_Retinoblastoma_2.png	nil	"# Retinoblastoma
# PFV
# ROP
# Cataract
# Coloboma of choroid or optic disc
# Uveitis
# Toxocariasis
# Congenital retinal folds
# Coats disease
# Organized vitreous hemorrhage
# FEVR
# Norrie disease
# Retinal detachment
# Myelinated nerve fibers"																													
Retina	Pediatric Disorders	Retinoblastoma	"217_Retinoblastoma_1.jpg, 217_Retinoblastoma_2.jpg, 217_Retinoblastoma_3.gif, 218_Table.png"	*Rosette*Histopathology*International Classification of Intraocular Retinoblastoma	# Why is it important to diagnose Retinoblastoma in children?	- Because retinoblastoma is the most common primary intraocular malignancy in children	# Rb Inheritance?	- Autosomal dominant	# How often does retinoblastoma occur bilaterally verus unilaterally?	"‘- 1/3 bilateral, 2/3 unilateral"	# How often does retinoblastoma occur hereditarily versus sporadically?	"‘- 1/3 hereditary, 2/3 sporadic"	# Signs?	"‘- Leukocoria or strabismus usu. before age 3
- Early tumor in macula, later in periphery
- LDH aqueous:plasma ratio >1.0
- Calcium on U/S or CT"	# Path?	"‘- Tumor grows around blood vessels
- Flexner-Wintersteiner rosette (RB specific)
- Homer Wright (also other neuroblastomas)
- Fleurette (Photoreceptor differentiation)"	# Prognosis:	"‘- Good with early tx; spontaneous regression rare
- Enucleation, radiation, chemo, cryo, laser"	# Reese-Ellsworth classification:	"- Predicts visual prognosis, NOT survival"	# Trilateral retinoblastoma?	‘- Bilateral tumor plus pineal gland	# Common secondary malignancies?	"‘- Osteosarcoma, malignant melanoma"										
Retina	Pediatric Disorders	Retinocytoma	"219_Retinoblastoma_Retinocytoma.png, 219_Table.png"	nil	# Retinocytoma	"‘- Also arises from Rb mutation, but benign
- Occurs in siblings with retinoblastoma
- May undergo malignant transformation (rare)"																												
Retina	Pediatric Disorders	Persistent Fetal Vasculature (PFV or PHPV)	"220_PFV_1.png, 220_PFV_2.jpg"	nil	# Definition of PFV?	‘- Failure of hyaloid vasculature to regress	# Inheritance?	‘- Non-hereditary	# Signs?	"‘- Unilateral
- Microphthalmos (disorganized)
- Fibrovascular sheath behind lens contracts to elongate ciliary processes
- Fibrovascular stalk from disc to posterior lens capsule
- Cataract
- Glaucoma (shallow AC + angle closure)
- RD and intraocular hemorrhage
- Retina may extend to pars plicata
- No systemic defects"	# Prognosis?	‘- Depends on degree of retinal involvement	# Location of Mittendorf dot?	- Inferonasal																				
Retina	Pediatric Disorders	Norrie Disease	nil	nil	# Definition of Norrie Disease?	"‘- Bilateral congenital blindness
- Classic presentation: Newborn baby boy with bilateral retinal detachments"	# Inheritance?	"‘- XR, males"	# Eye findings?	"‘- Bilateral retinal detachment within first few weeks of life
- Phthisis by age 10"	# Associated findings?	"‘- Hearing impairment
- Mental retardation"																						
Retina	Pediatric Disorders	Retinopathy of Prematurity (ROP)	222_ROP.jpg	ROP Graphic	# Who to screen?	"‘- Gestation <30 weeks
- Birth weight <1500g
- 1500-2000g or >30wks if high risk or unstable clinical course"	# What are the risk factors?	‘- High oxygen and poor weight gain (WINROP)	# When to start screening?	"‘- At 4-6 wks of age or 31-33 wks post-conception (whichever later) 
- Needs >2 BIO exams
- Screen weekly until zone II vascularized or ROP regressing"	# When do normal vessels complete vascularization?	"‘- 36-40 weeks (nasal at 36wks, temporal at 40wks)"	# When is ROP likely to progress?	‘- 36-40 weeks	# Stages & Zones?	"‘- Stage 1: demarcation line
- Stage 2: elevated ridge
- Stage 3: extraretinal fibrovascular tissue
- Stage 4: subtotal RD
- Stage 5: total RD"	# Threshold ROP?	"‘- Stage 3 in zone 1 or 2 in 5 contiguous or 8 non-contiguous clock hours with plus disease
- Defined by CRYO-ROP"																
Retina	Pediatric Disorders	ROP Treatment	223_Table.png	nil	# STOP-ROP	"‘-  Supplemental O2 at O2Sat 96-99% did not cause progression of prethreshold ROP, or reduce surgery"	# LIGHT-ROP	‘-  Exposure to ambient light does not affect incidence/severity of ROP	# CRYO-ROP	‘- Cryotherapy for threshold disease reduces vision loss	# ET-ROP	"‘- Early > conventional therapy of pre-threshold disease in reducing VA loss
- Treat type 1 ROP early (<48 hrs):
## Zone I, any stage, plus disease
## Zone I, stage 3, no plus disease
## Zone II, stage 2-3, plus disease
- Watch type 2 ROP:
## Zone I, stage 1 or 2, no plus disease
## Zone II, stage 3, no plus disease"	# ICROP	"‘- Defined preplus (int vascular chg)
- Aggressive Posterior ROP (Rush dx)
## Dilation + tortuosity in 4 quads out of proportion to periphery
## Direct AV shunting 
## Not follow Stage 1-3 progression
## NV may be flat, featureless 
## More urgent laser required "	# BEAT-ROP	"‘- Avastin vs. laser
- Treat with Avastin for stage 3 ROP only for zone I but not zone II
- Development of peripheral vessels continue after Avastin but not laser"																		
Retina	Pediatric Disorders	Familial Exudative Vitreoretinopathy (FEVR)	"224_FEVR_1.jpg, 224_FEVR_2.jpg"	nil	# Definition of Familial Exudative Vitreoretinopathy?	‘- Failure of temporal retina to vascularize (like ROP in full-term infant)	# Characteristics?	"‘- Bilateral
- Retinal exudates
- Tractional RD
- Retinal folds
- Temporal dragging of fovea
- Exotropia"	# Inheritance?	‘- AD usually (FEVR1; Ch 11)(also XR)	# Stages?	"‘- Stage 1: avascular peripheral retina
- Stage 2: NV, exudates
- Stage 3: subtotal extramacular RD
- Stage 4: subtotal macular RD
- Stage 5: total RD"																						
Retina	Retinal Degenerations	Stationary Rod Disorders: Congenital Stationary Night Blindness (CSNB)	"232_StationaryRodDisorders_FundusAlbipunctatus.png, 232_StationaryRodDisroders_OguchisDisease.jpg"	Fundus Albipunctatus*Normal	# Features:	"‘- Prolonged recovery of rhodopsin after light exposure
- Nyctalopia; delayed dark adaptation
- Normal fundus"	# What is the Flynn phenomenon?	‘- Paradoxical pupil constriction in dark	# The Flynn phenomenon is also seen in which eye diseases?	- LCA & achromatopsia	# ERG?	‘- Rod ERG decreased but normalizes after dark adaption	# Types?	"‘- Nougaret (AD) no rods; Riggs (AR) some rods
- Schubert-Bornschein (XR;AR) myopia, some to no rods
## Negative ERG"	# Variants?	"‘- Fundus albipunctatus (AR): ERG/EOG abnormal
 - Oguchi’s disease (AR): ERG abnormal; EOG normal
 - Kandora flecked retina (AR)
"	# What is the Mizuo-Nakamura phenomenon?	‘- Yellow sheen appears normal after dark adaptation	# The Mizuo-Nakamura phenomenon is also seen in which eye diseases? 	‘- Cone dystrophy & X-linked schisis														
Retina	Retinal Degenerations	Stationary Rod Disorders: Achromatopsia	"233_Achromatopsia_1.jpg, 233_Achromatopsia_2.jpg, 233_Achromatopsia_3.jpg"	nil	# Features:	"‘- Poor central VA, nystagmus, photphobia
- Normal-appearing fundus
- Paradoxical pupil constriction in dark"	# Rod monochromatism	"‘- AR (CNGA3, CNGB3, GNAT2)
- No cone function at all; rods normal
- Sees gray
- Loss of photopic response on ERG"	# Blue cone monochromatism	"‘- XR (OPN1W, OPN1MW)
- Only blue cones functional
- Slightly better VA than rod monochromatism"	# Other color disorders	"‘- Protanopia / deuteranopia – XR 
- Tritanopia – AD"	# Color vision	"‘- Ishihara:
 ## Only for protanopia/deuteranopia
- Hardy-Rand-Ritter:
## Like Ishihara, but detects all 3 color deficits
- Anomaloscope: 
## Luminosity matching
 ## Good for protanopia/deuteranopia
- Farnsworth-15: 
## Good for acquired vs. inherited ddx"																				
Retina	Retinal Degenerations	Leber Congenital Amaurosis (LCA)	"234_LCA_1.jpg, 234_LCA_2.jpg"	nil	# What is the classic presentation of LCA?	"‘- 6 m/o with nystagmus, flat ERG, poor visual response, hyperopia"	# Which photoreceptors affected?	‘- Both rods and cones	# Ocular Sx?	"‘- Poor vision
- Nystagmus
- Sluggish pupils
- Paradoxic pupils (constrict in dark)
- Oculodigital reflex
- Keratoconus
- Hyperopia"	# ERG?	‘- Flat ERG is diagnostic	# Fundus appearance?	"‘- Variable – normal (usually at birth), bone spicules, salt & pepper, white dots"	# What is the inheritance pattern of LCA?	‘- Autosomal recessive	# Treatments?	‘- None																
Retina	Retinal Degenerations	Progressive Rod Disorders	235_ProgressiveRodDisorders_RP_2.jpg	Mid-stage RP	# 2 types?	‘- Type 1 rod-cone; Type 2 cone-rod	# Clinical Findings?	"‘- Bone spicules
- Waxy optic disc pallor 
- Attenuated vessels
- Pigmented vitreous cell
- Macular edema w/o leakage on FA
- PSC
- Progressive loss of night vision
- Tritan color deficiency (blue)
- HVF: mid-peripheral scotomas, eventually becomes ring scotoma"	# ERG?	"‘- Decreased amplitude (A & B waves)
- Increased implicit time
- ERG decreases 50% every 7yrs (w/o treatment)"	# What type of vision impairment is RP associated with?	‘- Myopia (unlike LCA associated with hyperopia)	# Inheritance?	"‘- Sporadic / AR (most common)
- AD (least severe; rhodopsin – Ch3, most common mutation P23H; RDS/peripherin)
- XR (least common, earliest onset, fastest progression, worse prognosis)"	# Treatment?	"‘- Vitamin A, NOT vitamin E, lutein, DHA, oily fish"	# What is Sector RP?	‘- RP in part of retina (usu. Inferotemporal)	# What is Inverse RP?	‘- RP in macula	# What is Retinitis punctata albescens?	‘- RP + white spots	# What is RP sine pigmento?	‘- RP without RPE changes										
Retina	Retinal Degenerations	RP Variants: Bassen Kornzweig	"235_ProgressiveRodDisorders_RP_2.jpg, 236_RPvariants_Acanthocytes.jpg"	RP*Acanthocytes	# Features:	"‘- RP + hereditary abetalipoproteinemia
- Poor vitamin A absorption & steatorrhea
- Also: ataxia, acanthocytosis"	# What is the inheritance pattern of Bassen Kornzweig?	- Autosomal recessive 	# Treatment?	"‘- Low fat diet, vitamin A + E"																								
Retina	Retinal Degenerations	RP Variants: Refsum Disease	"236_RPvariants_RefsumDisease_1.jpg, 236_RPvariants_RefsumDisease_2.jpg"	nil	# Features:	"‘- RP + phytanic acid oxidase deficiency
- High phytanic acid, copper & ceruloplasmin
- No bone spicules; enlarged K nerves
- Also: Ataxia, deafness, anosmia, ichthyosis, cardiomyopathy, symmetric short 4th toes"	# What is the inheritance pattern of Refsum Disease?	- Autosomal recessive (7q21-22; PEX1)	# Treatment?	"‘- Low phytanic acid diet (avoid fats, milk)"																								
Retina	Retinal Degenerations	RP Variants: Spielmeyer-Vogt-Batten-Mayou	235_ProgressiveRodDisorders_RP_2.jpg	RP 	# Features:	"‘- RP + neuronal ceroid lipofuscinosis
- Lipofuscin accumulates in lysosomes
- Also: seizure, dementia, ataxia, vacuolization of peripheral lymphocytes"	# What is the inheritance pattern of Spielmeyer-Vogt-Batten-Mayou?	"‘- Autosomal recessive, usually Jewish girls"																										
Retina	Retinal Degenerations	RP Variants: Bardet-Biedl-Laurence-Moon	"235_ProgressiveRodDisorders_RP_2.jpg, 237_RPvariants_BardetBiedl.jpg"	RP*Polydactyly	# Features:	"‘- RP + polydactyly + obesity (Bardet-Biedl)
- RP + spastic paresis (Laurence-Moon)
- Both: short stature, hypogonadism, mental retardation, urethral reflux / pyelonephritis"	# What is the inheritance pattern of Bardet-Biedl-Laurence-Moon?	"‘- Autosomal recessive, likely multigenic"																										
Retina	Retinal Degenerations	RP Variants: Usher Syndrome	235_ProgressiveRodDisorders_RP_2.jpg	RP 	# Features:	"‘- RP + deafness
- Cilia defect (photoreceptors & hair cells)
- Also: ataxia, MR, low phosphate (rickets)"	# What is the inheritance pattern of Usher Syndrome?	‘- Autosomal recessive (Ch 1q41; USH2A)	# RP + deafness + obesity + endocrine dx?	"‘- Alstrom Syndrome (DM, hypertriglceridemia, etc.)"																								
Retina	Retinal Degenerations	RP Variants: CPEO / Kearns-Sayre	"235_ProgressiveRodDisorders_RP_2.jpg, 238_RPvariants_CPEO_1.jpg, 238_RPvariants_CPEO_2.jpg"	RP*Ptosis*3rd degree heart block	# Features:	"‘- RP + CPEO (EOM limitations + ptosis)
- Also: heart block (Kearns-Sayre)"	# What pathological findings do you expect to see on muscle biopsy?	‘- Ragged red fibers	# What is the inheritance pattern of CPEO / Kearns-Sayre?	‘- Mitochondrial	# Treatment?	‘- Coenzyme Q10																						
Retina	Retinal Degenerations	Progressive Cone Disorders	"239_ProgressiveConeDisorders_ConeDystrophy_1.jpg, 239_ProgressiveConeDisorders_ConeDystrophy_2.jpg"	nil	# What is the inheritance pattern of Cone Dystrophy?	"‘- Variable, onset usually in teens
- May involve rods later in life"	# Symptoms?	"‘- Progressive central VA loss 
- Hemeralopia (day blindness) 
- Photophobia"	# Fundus findings?	"‘- Bull’s eye maculopathy
- Optic pallor
- Vessels NOT attenuated; unlike rod dystrophies like RP"																								
Retina	Retinal Degenerations	Enhanced S-cone Disease	"240_EnhancedSConeDisease_GoldmannFavreSyndrome_1.png, 240_EnhancedSConeDisease_GoldmannFavreSyndrome_2.png"	nil	# Definition of Goldmann-Favre Syndrome?	"‘- No rods, cones doubled (92% S-cones)
- Similar to RP + juvenile retinoschisis	
- Presentation: Young child with night blindness"	# Clinical features?	"‘- Night blindness & blue light sensitivity
- Nummular yellow lesions along arcades (not pigment spicules like RP)
- Macular schisis (no leakage on FA)
- ON pallor & attenuated vessels
- Optically-empty vitreous "	# Inheritance?	‘- Autosomal recessive (defect in NR2E3 transcription factor)	# How to distinguish from X-linked retinoschisis?	"‘- Both ERG/EOG abnormal 
(EOG normal in X-linked retinoschisis)"																						
Retina	Retinal Degenerations	Juvenile X-linked Retinoschisis	"241_Retinoschisis_XLinkedJuvenilleRetinoschisis_1.png, 241_Retinoschisis_XLinkedJuvenilleRetinoschisis_2.jpg"	nil	# Split at what layer?	‘- NFL (young plays in the NFL)	# Common location?	"‘- Macula (microcysts, radiating folds, but no leakage on FA)
- Associated with vitreous hemorrhage and vitreous veils"	# ERG/EOG?	‘- Negative ERG; EOG normal	# What is the inheritance pattern of Juvenile X-linked Retinoschisis?	‘- X-linked (RS1 gene)	# Female carriers?	"‘- Normal fundus
(unlike choroideremia, RP, albinism)"																				
Retina	Retinal Degenerations	Gyrate Atrophy	247_ChoroidalDystrophies_GyrateAtrophy.jpg	nil	# Inheritance? Enzyme defect?	" ‘- AR (Ch 10q26)
- Ornithine aminotransferase"	# Symptoms?	"‘- Nyctalopia in 1st-2nd decades, VF + VA loss"	# Clinical signs?	"‘- Peripheral paving-stone + scalloped border
- PSC
- High myopia
- Decreased EOG; normal ERG"	# Serum levels?	‘- High ornithine; low lysine	# Treatment?	‘- Vit B6 supplements > restrict arginine																				
Retina	Retinal Degenerations	Choroideremia	247_ChoroidalDystrophies_Choroideremia.jpg	nil	# Inheritance? Enzyme defect?	"‘- XR (Xq21; CHM gene)
- Geranyl-geranyl transferase (rab escort protein)"	# Symptoms?	"‘- Night blindness, photophobia in 1st-2nd decade, constricted VF
- Central VA stable into age 40-50s"	# Clinical signs?	"‘- Absence of RPE + choriocapillaris except in macula
- Decreased ERG & EOG"	# Female carriers have?	‘- Salt and pepper fundus																						
Retina	Retinal Degenerations	Crystalline Dystrophies	"254_CrystallineDystrophies_Systemic_Cystinosis_2.gif, 254_CrystallineDystrophies_Systemic_Cystinosis_3.gif"	Crystals in the cornea and conjunctiva*Crystal formation in the left cornea	# What are the Systemic causes?	"‘- Primary hereditary hyperoxaluria
- Cystinosis
- Secondary oxalosis
- Sjögren-Larsson syndrome (type of ichthyosis)"	# What are the Ocular causes?	"‘- Bietti crystalline dystrophy
## Inheritance: AR (CYP4V2)
## Marginal corneal dystrophy
## Choroidal sclerosis
## Progressive night blindness
## VF constriction
- Calcific drusen
- Gyrate atrophy
- Juxtafoveal telangiectasia"																										
Retina	Retinal Degenerations	Ddx: Salt & Pepper Fundus	248_DDx_SaltPepperFundus.jpg	nil	# Leber congenital amaurosis	nil	# Rubella retinopathy 	nil	# Congenital syphilis	nil	# CARriers:	"‘- Choroideremia
- Albinism
- RP (also abnormal ERG)
NOT juvenile retinoschisis"	# CPEO	nil	# Congenital rubella (1st tri vs. 2nd tri)?	"‘- 1st Tri: cataracts*, deafness, cardiac issues
## *microspherophakic w/ retained lens nuclei; rarely occurs with glaucoma
 - 2nd Tri: Salt & Pepper Fundus (most common)"																		
Retina	Retinal Degenerations	Ddx: RDS/peripherin	244_RPEdystrophies_PatternDystrophy_PatternedPigmentDystrophy_1.jpg	Pattern Dystrophy	# RP	nil	# Pattern dystrophy	nil	# Central areolar choroidal dystrophy	nil	# Cone-rod dystrophy																							
Retina	Retinal Degenerations	Ddx: Bull’s Eye Maculopathy	"249_BullsEyeDDx_AMD.png, 249_BullsEyeDDx_ConeDystrophy.png, 249_BullsEyeDDx_ConeRodDystrophy.jpg, 249_BullsEyeDDx_HydroxychloroquineToxicity.jpg, 249_BullsEyeDDx_StargardtsDisease.png"	Wet AMD*Cone Dystrophy*Cone-Rod Dystrophy*Hydroxychloroquine (Plaquenil) toxicity*Stargardt Disease	# Stargardt’s disease	nil	# Cone dystrophy	nil	# Chloroquine/Hydroxychloroquine toxicity	nil	# AMD	nil	# Chronic macular hole																					
Retina	Retinal Degenerations	Ddx: Albinism	250_Albinism_1.jpg	OCA1 Auge	#Features of Oculocutaneous Albinism:	"‘- Less MELANIN
- Inheritance: AR"	# Features of Ocular Albinism:	"‘- Less MELANOSOMES
- Inheritance: XR, AR"	# Clinical findings?	"‘- Iris transillumination defects
- Decreased fundus pigmentation
- Foveal hypoplasia
- Sensory nystagmus"	# Potentially lethal forms? (2)	"‘- Chediak-Higashi syndrome
## Recurrent pyogenic infections
## White forelock & silvery hair
- Hermansky-Pudlak syndrome
## Platelet dysfunction
## Puerto-Rican heritage"	# Prostaglandins increases?	‘- MELANOSOMES																				
Retina	Retinal Degenerations	Inheritance Overview	255_Table.png	nil																														
Retina	Vitreomacular Interface	Vitreoretinal Interface: Epiretinal Membrane (ERM)	"202_VitreoretinalInterface_ERM_1.jpg, 202_VitreoretinalInterface_ERM_2.jpg"	nil	# Features:	"- Can be idiopathic or secondary to vascular occlusions, inflammation, surgery, trauma, or retinal breaks (allows RPE migration onto retina)
- Stable (>75% maintain >20/50)"	# Treatment?	"- PPV/MP if VA <20/50 or severe metamorphopsia
- 66-75% has VA improvement
- 80% get cataracts
- 2-7% recurs"																										
Retina	Vitreomacular Interface	Vitreoretinal Interface: VMT	202_VitreoretinalInterface_ERM_2.jpg	nil	"# Definition:
"	- VMA with traction	# Treatment?	"‘- PPV/MP (risks unknown)
- Ocriplasmin (microplasmin)
## Truncated form of plasmin
- MIVI-TRUST Study:
## OCP > placebo in VMA resolutn (26 vs 12%)
## OCP > placebo in MH closure (40% vs 25%)
## OCP > placebo in VA gain    (12% vs 9%)
## Better if phakic, no ERM"																										
Retina	Vitreomacular Interface	Macular Holes	203_MacularHoles_OCT.jpg	nil	"Idiopathic Macular Hole
# Clinical test?"	Watzke-allen test	# Stages (antiquated)?	"‘- Stage 1
## 1A (pseudocyst); 1B (outer layer loss) 
## 50% spontaneously resolve (no surgery)
- Stage 2
## Full-thickness hole <400um
- Stage 3
## Full-thickness >400um + elevated rim
- Stage 4
## Hole with PVD"	# New grading system?	"‘- Small <250um
- Medium 250-400um
- Large >400um"	# Treatments?	"‘- Jetrea (if <250um & VMA present)
- PPV (if >250um) + ILMP (if >400um)"	# PPV Treatment success?	"‘- 92% closure ; 50% if re-op
- short-acting gas (SF6 or 10% C3F8)
- ILMP (_ closure) if >400um
- Face down (3 days; _ closure if >400um)"	# Treatment for traumatic MH?	Observation (no traction; spontaneous closure ~2 mo)	# What is a Pseudohole?	"‘- Appearance of hole w/ steep walls
- Caused by vascular tortuosity around macula"	# What is a Lamellar Hole?	"‘- Thin layer of retina lifted w/ walls “bulging out”
- Maybe precursor or resolved macular hole"														
Retina	Drugs	Hydroxy/chloroquine	251_DrugToxicities_Hydroxycholoroquine.jpg	Hydroxychloroquine (Plaquenil) toxicity	# At what dosage does Hydroxychloroquine (Plaquenil) become toxic?	‘- Plaquenil >1000g total	# At what dosage does Chloroquine become toxic?	‘- Chloroquine >300g total	"# Increased toxicity w/ age, obesity, liver or renal dx"	nil	# Findings?	"‘- Decreased color (red) vision 
- Paracentral scotomas
- Bull’s eye maculopathy
- RP-like changes late"	# Diagnosis? 	"‘- Red 10-2 HVF
- SD-OCT (loss of IS/OS jn)
- Multifocal ERG"	"# Increased toxicity w/ age, obesity, liver or renal dx"																			
Retina	Drugs	Phenothiazines	nil	nil	# Toxicity with which Phenothiazine is rare?	‘- Chlorpromazine	# At what dosage does Thioridazine become toxic?	 ‘- Thioridazine >800mg/day	# What do Phenothiazines do to melanin?	‘- Binds to melanin	# Findings?	"‘- Pigmentary retinopathy
-  Lid & conj pigmentation
-  Stellate anterior capsular cataract"	# Another cause of stellate ant caps cataract?	‘- Amiodarone																				
Retina	Drugs	Tamoxifen/Xanthines	nil	nil	# At what dosage does Tamoxifen become toxic?	‘- Tamoxifen >200mg/day	# Toxicity with which Phenothiazine is rare?	‘- Canthaxanthine (carotenoid for tanning)	# Talc	nil	# What are drug causes of secondary oxalosis? (2)	"‘- Ethylene glycol
- Methoxyflurane"	# Findings?	"‘- Crystalline retinopathy
- Outer retinal defect"	"# Except tamoxifen, others usually reversible when drug is stopped"																			
Retina	Drugs	Desferoxamine	nil	nil	# Features:	"‘- Ring scotoma
- Pigmentary retinopathy
- Decreased ERG"																												
Retina	Drugs	Isotretinoin	nil	nil	# Features:	"‘- Nyctalopia
- Decreased ERG   
- Reversible"																												
Retina	Drugs	Rifabutin	nil	nil	# Features:	‘- Anterior & posterior uveitis																												
Retina	Drugs	Gentamicin	nil	nil	# Features:	"‘- Macular atrophy
- Occurs with intracameral use after phaco in post-PPV pts"																												
Retina	Drugs	Digitalis	nil	nil	# Features:	"‘- Yellow vision (xanthopsia)
- Pericentral scotoma
- Decreased acuity, color vision
- Reversible"																												
Retina	Drugs	Sildenafil	nil	nil	# Features:	"‘- Blue vision
- ERG changes
- Reversible"																												
Retina	Drugs	Mucopolysaccharides	"*Heparan N-sulfatase; N-acetyl D-glucosaminidase; acetyl-CoA-glucosaminidase-N,N-acetyltransferase; N-acetylglucosamine-6-sulfate sulfatase
**galactose-6-sulfatase; b-galactosidase"	253_Table.png																														
