Category	Topic	Subtopic 	Image	Image Caption	Header 1	Info1	Header2	Info2	Header3	Info3	Header4	Info4	Header5	Info5	Header6	Info6	Header7	Info7	Header8	Info8	Header9	Info9	Header10	Info10	Header11	Info11	Header12	Info12	Header13	Info13	Header14	Info14	Header15	Info15
Retina	Vascular Diseases	Radiation Retinopathy	"213_RadiationRetinopathy_1.jpg, 213_RadiationRetinopathy_2.jpg"	Radiation Retinopathy*Choroidal Melanoma with Radiation Retinopathy	"# May result from external beam radiation or plaque brachytherapy
# Usual onset? ^
# Usual amount of radiation? ^
# Clinical appearance similar to diabetic retinopathy
# Treatment? ^
---"	nil	# Usual onset? ^	"‘- ~18mo s/p external XRT
- Earlier for brachytherapy"	# Usual amount of radiation? ^	‘- 30-35Gy (min 15Gy)	# Treatment ^	"‘- Similar to diabetic retinopathy
- Consider Avastin q3month for prophylaxis"																						
Retina	Vascular Diseases	Sickle Cell Retinopathy	214_SickleCellRetinopathy_1.jpg	Sickle Cell Retinopathy	"“African-American with vitreous hemorrhage?”
# Nonproliferative
- Salmon patch
## Intraretinal hemorrhage after arteriolar occlusion
- Iridescent spots
## Old resorbed heme
- Black sunburst
## RPE hypertrophy, hyperplasia
# Proliferative
- Stage 1: peripheral arteriolar occlusion
- Stage 2: peripheral AV anastomoses
- Stage 3: preretinal sea fan NV (posterior border of nonperfusion; may autoinfarct and turn white)
- Stage 4: Vitreous hemorrhage
- Stage 5: Tractional RD
# Hemoglobinopathy? ^
# Gene defect? ^
# Avoid carbonic anhydrase inhibitors
# Other Eye findings? ^
# Treatment? ^
---"	nil	# Hemoglobinopathy? ^	"‘- SC worst ocular Sx (SC>Sthal>SS>SA)
- SS worst systemic Sx"	# Gene defect? ^	‘- Val sub for glu acid at 6th position on B-polypeptide chain	# Other Eye findings? ^	"‘- Angioid streaks
- Comma sign (segmented conj vessels)"	# Treatment? ^	"‘- Scatter laser to ischemic retina
- PPV precautions (avoid encircling SB or taking down EOMs, avoid epi in local anesthetic, ensure O2 & hydration)"																				
Retina	Vascular Diseases	Eales disease	"215_EalesDisease_1.jpg, 215_EalesDisease_2.jpg"	Eales Disease*Eales Disease - FA	"“Young man with idiopathic bilateral peripheral NV?”
# Idiopathic obliterative perivasculitis of peripheral retina
# Bilateral peripheral NV + VH
# Young males
# Associated with? ^
# Endemic in? ^
---"	nil	# Associated with? ^	‘- TB hypersensitivity	# Endemic in? ^	‘- India																								
Retina	Pediatric Disorders	DDx Pediatric Leukocoria 	216_PediatricLeukocoria_Retinoblastoma_2.png	Retinoblastoma	"# Retinoblastoma
# PFV
# ROP
# Cataract
# Coloboma of choroid or optic disc
# Uveitis
# Toxocariasis
# Congenital retinal folds
# Coats disease
# Organized vitreous hemorrhage
# FEVR
# Norrie disease
# Retinal detachment
# Myelinated nerve fibers"																													
Retina	Pediatric Disorders	Retinoblastoma	"217_Retinoblastoma_1.jpg, 217_Retinoblastoma_2.jpg, 217_Retinoblastoma_3.gif"	Retinoblastoma*Retinoblastoma rosette*Retinoblastoma Histopathology	"“Most common primary intraocular malignancy in children”
# Rb Inheritance? ^
# Signs? ^
# Path? ^
# Prognosis: ^
# Reese-Ellsworth classification: ^
# Trilateral retinoblastoma? ^
# Common secondary malignancies? ^
---"	nil	# Rb Inheritance? ^	"‘- 1/3 bilateral, 2/3 unilateral
- 1/3 hereditary, 2/3 sporadic"	# Signs? ^	"‘- Leukocoria or strabismus usu. before age 3
- Early tumor in macula, later in periphery
- LDH aqueous:plasma ratio >1.0
- Calcium on U/S or CT"	# Path? ^	"‘- Tumor grows around blood vessels
- Flexner-Wintersteiner rosette (RB specific)
- Homer Wright (also other neuroblastomas)
- Fleurette (Photoreceptor differentiation)"	# Prognosis: ^	"‘- Good with early tx; spontaneous regression rare
- Enucleation, radiation, chemo, cryo, laser"	# Reese-Ellsworth classification: ^	"- Predicts visual prognosis, NOT survival"	# Trilateral retinoblastoma? ^	‘- Bilateral tumor plus pineal gland	# Common secondary malignancies? ^	"‘- Osteosarcoma, malignant melanoma"														
Retina	Pediatric Disorders	Retinoblastoma	nil	nil	International Classification of Intraocular Retinoblastoma	218_Table.png																												
Retina	Pediatric Disorders	Retinoblastoma	219_Retinoblastoma_Retinocytoma.png	Retinocytoma - Retinoma - Regressed Retinoblastoma	219_Table.png	nil	# Retinocytoma	"‘- Also arises from Rb mutation, but benign
- Occurs in siblings with retinoblastoma
- May undergo malignant transformation (rare)"																										
Retina	Pediatric Retina	Persistent Fetal Vasculature (PFV or PHPV)	"220_PFV_1.png, 220_PFV_2.jpg"	PHPV*Persistent hyperplastic primary vitreous	"“Newborn with unilateral leukocoria and microphthalmos”
# Failure of hyaloid vasculature to regress
# Inheritance? ^
# Signs? ^
# Prognosis? ^
# Location of Mittendorf dot? ^
---"	nil	# Inheritance? ^	‘- Non-hereditary	# Signs? ^	"‘- Unilateral
- Microphthalmos (disorganized)
- Fibrovascular sheath behind lens contracts to elongate ciliary processes
- Fibrovascular stalk from disc to posterior lens capsule
- Cataract
- Glaucoma (shallow AC + angle closure)
- RD and intraocular hemorrhage
- Retina may extend to pars plicata
- No systemic defects"	# Prognosis? ^	‘- Depends on degree of retinal involvement	# Location of Mittendorf dot? ^	- Inferonasal																				
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
